"titleFa","titleEn","regionCity","whyImportant","closestExistingRecipe","decision","priority","ingredientFeasibilityRisk"
"مرصع‌پلو / شیرین‌پلو کامل مجلسی","","","","شیرین‌پلو (مرصع‌پلو)","add","تهران/قزوین/ایران","needs dictionary check before import"
"ته‌چین اسفناج یا ته‌چین بادمجان","","","","ته‌چین گوشت و بادمجان","add","ایران","needs dictionary check before import"
"آلبالوپلو نسخه مجلسی با کوفته‌ریزه","","","","","add","تهران/شیراز","needs dictionary check before import"
"مرغ شکم‌پر مازندرانی/گیلانی اصیل","","","","آدوبوی مرغ فیلیپینی","add","شمال ایران","needs dictionary check before import"
"خورش آلو مسما","","","","خورش آلو","add","گیلان/ایران","needs dictionary check before import"
"قلیه مرغ شمالی","","","","سیر قلیه","add","گیلان/مازندران","needs dictionary check before import"
"چکدرمه ترکمنی","","","","","add","گلستان/ترکمن","needs dictionary check before import"
"باقالی قاتوق با پاچ‌باقلا دقیق","","","","باقالی شور","add","گیلان","needs dictionary check before import"
"واویشکای دقیق گیلانی با دل/جگر یا گوشت","","","","","add","گیلان","needs dictionary check before import"
"دوغ پای کرمانی","","","","آب دوغ خیار","add","کرمان","needs dictionary check before import"
"یتیمچه نیشابوری/تهرانی تفکیک‌شده","","","","یتیمچه","add","خراسان/تهران","needs dictionary check before import"
"شامی پوک گیلانی","","","","ترش‌شامی گیلانی","add","گیلان","needs dictionary check before import"
"کوفته سبزی شیرازی","","","","مرجیمک کوفته‌سی","add","شیراز","needs dictionary check before import"
"کوفته همدانی","","","","مرجیمک کوفته‌سی","add","همدان","needs dictionary check before import"
"آش کشک خراسانی","","","","آش انار","add","خراسان","needs dictionary check before import"
"دمی گوجه / استانبولی با گوشت قلقلی","","","","","add","تهران/ایران","needs dictionary check before import"
"خورش به‌آلو","","","","خورش آلو","add","اصفهان/ایران","needs dictionary check before import"
"خورش سیب و آلبالو یا سیب کرمانشاهی","","","","خورش آلو","add","کرمانشاه","needs dictionary check before import"
"آش اوماج","","","","آش انار","add","آذربایجان/همدان","needs dictionary check before import"
"دلمه فلفل و گوجه ایرانی","","","","دلمه بادمجان / دلمه کلم","add","ایران","needs dictionary check before import"
