"titleFa","titleEn","country","regionCity","category","mealTypes","whyImportant","popularityGlobalRegionalRelevance","ingredientFeasibilityRisk","duplicateRisk","sourceResearchRequirement","priority","recommendedBatch"
"ترش واش","Torsh Vash","Iran","Gilan","main","lunch,dinner","شاخص شمال ایران و نبودش برای آرشیو ایرانی ضعف جدی است.","high","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","north-iran-01"
"مرغ شکم پر مازندرانی","Mazandarani Stuffed Chicken","Iran","Mazandaran","main","lunch,dinner","کاربر نبود/سرچ‌نشدن آن را گزارش کرده؛ غذای بسیار شناخته‌شده شمالی است.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","north-iran-01"
"اناربیج گیلانی","Gilaki Anarbij","Iran","Gilan","main","lunch,dinner","غذای هویتی گیلان با گردو، انار و سبزی محلی.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","north-iran-01"
"کال کباب گیلانی","Kal Kabab","Iran","Gilan","appetizer","lunch,dinner","پیش‌غذای شمالی بسیار مهم؛ برای پوشش گیلان لازم است.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","north-iran-01"
"میرزاقاسمی با بادمجان کبابی","Mirza Ghasemi","Iran","Gilan","main","breakfast,lunch,dinner","اگر موجود است باید نسخه دقیق/اصیل کنترل شود؛ اگر نه P0 است.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","north-iran-01"
"باقلاقاتق با پاچ‌باقلا","Baghali Ghatogh","Iran","Gilan","main","lunch,dinner","غذای نمادین گیلان؛ نیازمند ingredient feasibility دقیق.","high","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","north-iran-01"
"واویشکا گیلانی","Vavishka","Iran","Gilan","main","lunch,dinner","غذای معروف شمالی با نسخه‌های دل/جگر/گوشت.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","north-iran-01"
"شامی پوک گیلانی","Shami Pook","Iran","Gilan","main","lunch,dinner","برای پوشش غذاهای کتلت/شامی شمالی مهم است.","medium_high","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","north-iran-01"
"نازخاتون","Naz Khatun","Iran","Mazandaran/Gilan","side","lunch,dinner","چاشنی/کنارغذای شمالی شناخته‌شده.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P1","north-iran-01"
"خورش آلو مسما","Aloo Mosamma","Iran","Gilan","main","lunch,dinner","نسخه شمالی خورش آلو باید جدا و دقیق باشد.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","north-iran-01"
"کئی پلا مازندرانی","Kayi Pela","Iran","Mazandaran","main","lunch,dinner","غذای برنجی محلی با کدو؛ برای مازندران مهم است.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","north-iran-02"
"مالابیج","Malabij","Iran","Gilan/Mazandaran","main","lunch,dinner","ماهی شکم‌پر شمالی؛ ریسک ingredient/source بالا ولی ارزش زیاد.","medium_high","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","north-iran-02"
"آغوز مسما","Aghoz Mosamma","Iran","Gilan","main","lunch,dinner","غذای گردویی شمالی مهم و متمایز.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","north-iran-02"
"بورانی بادمجان شمالی","Northern Eggplant Borani","Iran","Gilan/Mazandaran","side","lunch,dinner","کنارغذای منطقه‌ای قابل استفاده و کم‌ریسک‌تر.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","north-iran-02"
"چغرتمه مرغ","Chaghartameh Morgh","Iran","Gilan","main","lunch,dinner","غذای گیلانی تخم‌مرغ/مرغ‌محور؛ نیازمند منبع دقیق.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","north-iran-02"
"چکدرمه ترکمنی","Chekdermeh Turkmen","Iran","Golestan","main","lunch,dinner","غذای شاخص گلستان/ترکمن و کمبود مهم آرشیو.","high","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","iran-regional-01"
"پنکیک کلاسیک","Classic Pancakes","USA","North America","breakfast","breakfast","صبحانه جهانی و پرمصرف.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","breakfast-02"
"پالک پنیر","Palak Paneer","India","North India","main","lunch,dinner","کلاسیک گیاهی هند.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-02"
