path,status,owning_agent,finding_ids,acceptance_criteria,reason_required,classification,keep_or_revert,test_coverage,risk
"apps/server/src/ai/ai-core.module.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","AI snapshot resolution must use canonical current-policy personalization consent","Diff imports ConsentModule into AiCoreModule so BehavioralContextSnapshotService can fail closed at its own read boundary","BOUNDARY_REQUIRED","KEEP","behavioral-context-snapshot.service.spec.ts; focused AI snapshot lane 18/18","Medium: missing DI wiring would bypass the gate or break Nest startup"
"apps/server/src/ai/ai.module.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Grounded assistant must not read optional user memory after deny or withdrawal","Diff wires ConsentModule into AiModule for GroundedReplyService rather than trusting caller state","BOUNDARY_REQUIRED","KEEP","grounded-reply.service.spec.ts; server build","Medium: assistant personalization could survive withdrawal"
"apps/server/src/ai/chat/grounded-reply.service.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Prove hard allergy flow remains while optional profile and UserFact reads are zero after withdrawal","Added withdrawal test constructs denied ConsentService and asserts no behavior-profile or fact IO","TEST_REQUIRED","KEEP","Self: grounded-reply personalization boundary","Low: test-only; protects safety/personalization separation"
"apps/server/src/ai/chat/grounded-reply.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Assistant keeps core allergy filtering but suppresses optional remembered preferences without personalization","loadUserModel now checks ConsentService.hasPurpose(personalization) before UserBehaviorProfile/UserFact reads","BOUNDARY_REQUIRED","KEEP","grounded-reply.service.spec.ts","High: direct assistant call otherwise exposes optional memory"
"apps/server/src/ai/context/behavioral-context-snapshot.service.spec.ts","M","Personalization Data-Minimization Agent","GAR-LAUNCH-008","Runtime OFF or deny must omit budget and behavioral signals; active grant preserves existing path","Spec adds real current-policy/runtime fixtures and zero optional-read assertions","TEST_REQUIRED","KEEP","Self; focused smart-plan/notification/AI lane 18/18","Low: test-only; environment restoration must remain isolated"
"apps/server/src/ai/context/behavioral-context-snapshot.service.ts","M","Personalization Data-Minimization Agent","GAR-LAUNCH-008","Behavioral AI context must resolve canonical consent before preference or signal hydration","Diff injects ConsentService and uses a reduced diet/skill select when personalization is inactive","BOUNDARY_REQUIRED","KEEP","behavioral-context-snapshot.service.spec.ts","High: budget/profile signals could enter AI context after withdrawal"
"apps/server/src/ai/i18n/template-registry.spec.ts","M","Allergy & Onboarding Agent","GAR-LAUNCH-005","Allergy copy must not promise absolute safety","Added multilingual assertion rejecting always-safe/guarantee language in allergy templates","TEST_REQUIRED","KEEP","Self: TemplateRegistry allergy copy test","Low: copy regression coverage"
"apps/server/src/ai/i18n/template-registry.ts","M","Allergy & Onboarding Agent","GAR-LAUNCH-005","Launch-facing allergy assistance must be informational and require ingredient verification","Only allergy_offer and allergy_offer_unknown copy changed from always safe to warnings/filtering plus no-guarantee disclaimer","CORE_REQUIRED","KEEP","template-registry.spec.ts","High: reverting restores a medically unsafe absolute claim"
"apps/server/src/analytics/analytics.consent-gate.spec.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Deny, withdrawal, stale policy and runtime OFF produce zero optional event writes/routing","Expanded consent matrix exercises canonical UserConsent decisions and purpose-specific behavior","TEST_REQUIRED","KEEP","Self; consent/analytics focused lane 11/11 server","Low: test-only; central hard-gate evidence"
"apps/server/src/analytics/analytics.controller.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007","Authenticated client ingest accepts only a bounded canonical event DTO","TrackEventDto is exported/validated and controller passes authenticated user rather than accepting identity from body","CORE_REQUIRED","KEEP","analytics.controller.spec.ts; analytics.consent-gate.spec.ts","High: direct API injection can bypass client opt-out"
"apps/server/src/analytics/analytics.service.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","No optional UserEvent write before runtime and current-purpose checks; stored payload is sanitized/provenanced","trackEvent now applies runtime guard, canonical consent, sanitization and consentPurpose before create/routing","CORE_REQUIRED","KEEP","analytics.consent-gate.spec.ts; payload-sanitizer.spec.ts","Critical: this is the canonical first-party ingest boundary"
"apps/server/src/analytics/event-enrichment.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Enrichment touches only personalization-provenance events with current analytics+personalization at read and write","Diff adds ConsentService gate and provenance predicate, including recheck before updateMany","BOUNDARY_REQUIRED","KEEP","event-enrichment.service.spec.ts","High: enrichment could repurpose analytics/legacy rows after withdrawal"
"apps/server/src/analytics/event-quality.service.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Existing event-quality integration must construct newly consent-gated GamificationService without weakening assertions","Only test harness dependency changed to provide explicit granted consent","TEST_REQUIRED","KEEP","Self: EventQualityService to Gamification E2E","Low: compatibility fixture for new constructor"
"apps/server/src/analytics/intelligence/ops-intelligence.service.spec.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007","Analytics OFF returns honest disabled health output with zero UserEvent quality IO","Added runtime-OFF test and environment restoration","TEST_REQUIRED","KEEP","Self: OpsIntelligence deterministic suite","Low: test-only; admin closure may extend this contract"
"apps/server/src/analytics/intelligence/ops-intelligence.service.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007","Workflow intelligence must not read legacy optional analytics while runtime is OFF","health now checks isOptionalPurposeRuntimeEnabled and active query filters consentPurpose=analytics","BOUNDARY_REQUIRED","KEEP","ops-intelligence.service.spec.ts; workflow-nodes.service.spec.ts","High: scheduled workflow otherwise bypasses request gates"
"apps/server/src/analytics/payload-sanitizer.spec.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007","PII-like values and unbounded payload fields are rejected or removed","Spec adds sanitizer cases for newly detected PII values and canonical types","TEST_REQUIRED","KEEP","Self: sanitizePayload privacy suite","Low: test-only"
"apps/server/src/analytics/payload-sanitizer.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007","Stored optional analytics payload must be bounded and exclude keys/values carrying direct identifiers","Diff expands PII detection, bounded scalar sanitization and canonical event type inventory","CORE_REQUIRED","KEEP","payload-sanitizer.spec.ts; analytics.controller.spec.ts","High: raw PII could enter UserEvent"
"apps/server/src/app.module.ts","M","Session & PWA Isolation Agent","GAR-LAUNCH-009","All credential-bearing/private responses must emit private no-store headers centrally","Diff registers PrivateCacheControlInterceptor as APP_INTERCEPTOR","CORE_REQUIRED","KEEP","private-cache-control.interceptor.spec.ts; server build","High: missing global registration leaves controller gaps cacheable"
"apps/server/src/auth/auth.service.spec.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007","Registration and Google login must create no pre-consent UserEvent","Added assertions that userEvent.create is never called by auth entry paths","TEST_REQUIRED","KEEP","Self: OTP/Google auth suites","Low: test-only"
"apps/server/src/auth/auth.service.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007","Authentication must not emit optional funnel analytics before a user decision","Diff removes three direct register/login UserEvent writes while leaving token behavior narrow","CORE_REQUIRED","KEEP","auth.service.spec.ts","High: auth-side producer previously bypassed AnalyticsService"
"apps/server/src/behavior-engine/behavior-engine-scheduler.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Personalization runtime OFF must stop scheduler before user discovery or optional table IO","Diff adds pre-IO runtime return, personalization provenance and removes arbitrary-user churn event workaround","BOUNDARY_REQUIRED","KEEP","behavior-engine.consent-boundary.spec.ts; scheduler covered by focused backend lane","High: cron can process all users without request consent"
"apps/server/src/behavior-engine/behavior-engine.module.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Behavior engine services/scheduler must receive canonical ConsentService","Diff imports ConsentModule into BehaviorEngineModule","BOUNDARY_REQUIRED","KEEP","behavior-engine.consent-boundary.spec.ts; server build","Medium: DI failure or local consent reimplementation"
"apps/server/src/behavior-engine/behavior-engine.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Direct or scheduled profile mutation must fail closed before behavior reads/writes","processUserEvent now resolves personalization at the mutation boundary","BOUNDARY_REQUIRED","KEEP","behavior-engine.consent-boundary.spec.ts","High: direct callers otherwise bypass controller-level gates"
"apps/server/src/behavior-engine/feature-store/feature-store.service.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-008","Withdrawal returns cold/empty vectors with zero private reads/writes and provenance filtering","Added denied/read-error/recheck assertions around vector read and rebuild","TEST_REQUIRED","KEEP","Self; recommendation focused lane 116/116","Low: test-only"
"apps/server/src/behavior-engine/feature-store/feature-store.service.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-008","Feature-vector read/rebuild/maturity is personalization-only and legacy analytics rows cannot feed it","Diff gates each public method, filters consentPurpose=personalization and rechecks before persistence","BOUNDARY_REQUIRED","KEEP","feature-store.service.spec.ts","High: derived profile could remain active after withdrawal"
"apps/server/src/behavior-engine/profile/declared/declared-dimension-registry.ts","M","Allergy & Onboarding Agent","GAR-LAUNCH-005","Declared allergy dimension must describe binary persisted state, not unsupported severity","Single diff changes label/value semantics from severity claim to binary names","CORE_REQUIRED","KEEP","declared-profile.spec.ts","Medium: old metadata falsely implied enforced intensity"
"apps/server/src/behavior-engine/profile/declared/declared-profile.spec.ts","M","Allergy & Onboarding Agent","GAR-LAUNCH-005","Registry must not expose severity/intensity language for allergy state","Added assertion on exact declared-dimension metadata","TEST_REQUIRED","KEEP","Self: PROFILE-L4-05 registry suite","Low: test-only"
"apps/server/src/behavior-engine/profile/profile.module.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Profile reads/submissions must resolve canonical current-policy consent","Diff imports ConsentModule for ProfileReadService","BOUNDARY_REQUIRED","KEEP","profile-read.service.spec.ts; food-dna-projection.spec.ts","Medium: DI is necessary for fail-closed profile boundary"
