"titleFa","titleEn","country","regionCity","category","mealTypes","whyImportant","popularityGlobalRegionalRelevance","ingredientFeasibilityRisk","duplicateRisk","sourceResearchRequirement","priority","recommendedBatch"
"نان و پنیر و گردو","Iranian Bread Cheese Walnut","Iran","Iran","breakfast","breakfast","صبحانه پایه ایرانی؛ برای UX برنامه غذایی مهم.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","breakfast-01"
"املت گوجه ایرانی","Iranian Tomato Omelette","Iran","Iran","breakfast","breakfast","صبحانه/شام سبک بسیار پرمصرف.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","breakfast-01"
"عدسی صبحانه","Adasi Breakfast","Iran","Iran","breakfast","breakfast","صبحانه ایرانی سالم و پرجستجو.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","breakfast-01"
"حلیم گندم","Halim Gandom","Iran","Iran","breakfast","breakfast","صبحانه آیینی/شهری مهم.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P0","breakfast-01"
"کله پاچه","Kaleh Pacheh","Iran","Iran","breakfast","breakfast","شناخته‌شده ولی ریسک ایمنی/تغذیه/مواد بالا؛ نیازمند دقت.","medium","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P2","breakfast-01"
"خاگینه تبریزی","Khagineh Tabrizi","Iran","Azerbaijan","breakfast,dessert","breakfast","صبحانه/دسر سنتی منطقه‌ای.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","breakfast-01"
"نیمرو با خرما","Persian Date Eggs","Iran","South Iran","breakfast","breakfast","صبحانه جنوب ایران و متمایز.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","breakfast-02"
"شیر برنج صبحانه","Shir Berenj","Iran","Iran","breakfast,dessert","breakfast","غذای ساده و خانوادگی مناسب برنامه صبحانه.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","breakfast-02"
"پنکیک کلاسیک","Classic Pancakes","USA","North America","breakfast","breakfast","صبحانه جهانی و پرمصرف.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","breakfast-02"
"فرنچ تست","French Toast","France/USA","Global","breakfast","breakfast","کلاسیک جهانی و مناسب کاربر عمومی.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","breakfast-02"
"اوتمیل موز و دارچین","Banana Cinnamon Oatmeal","Global","Global","breakfast","breakfast","صبحانه سالم و کاربردی؛ نه filler اگر دقیق باشد.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","breakfast-02"
"شاکشوکا","Shakshuka","Tunisia/Levant","MENA","breakfast","breakfast,brunch","صبحانه MENA بسیار شناخته‌شده.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","breakfast-02"
"منمن ترکی","Turkish Menemen","Turkey","Turkey","breakfast","breakfast","صبحانه منطقه‌ای محبوب و نزدیک به ذائقه ایرانی.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","breakfast-02"
"فول مدامس","Ful Medames","Egypt","Egypt/MENA","breakfast","breakfast","صبحانه خاورمیانه‌ای مهم.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","breakfast-03"
"کانجی برنج","Rice Congee","China","East Asia","breakfast","breakfast","صبحانه آسیایی پایه؛ برای تنوع جهانی.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","breakfast-03"
"تامago کاکه گوهان","Tamago Kake Gohan","Japan","Japan","breakfast","breakfast","شناخته‌شده ولی ریسک تخم‌مرغ خام/ایمنی دارد.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P3","breakfast-03"
"چای زعفران ایرانی","Persian Saffron Tea","Iran","Iran","drink","breakfast,snack","نوشیدنی ایرانی غیرالکلی شاخص.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","drinks-01"
"دوغ نعناع","Mint Doogh","Iran","Iran","drink","lunch,dinner","نوشیدنی ملی کنار غذا.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","drinks-01"
"شربت سکنجبین","Sekanjabin Sharbat","Iran","Iran","drink","snack","نوشیدنی سنتی مهم و قابل اتکا.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","drinks-01"
"شربت بیدمشک","Bidmeshk Sharbat","Iran","Iran","drink","snack","نوشیدنی ایرانی رایج؛ feasibility وابسته به عرق بیدمشک.","medium_high","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","drinks-01"
"شربت خاکشیر","Khakshir Sharbat","Iran","Iran","drink","snack","نوشیدنی تابستانی ایرانی مهم؛ ریسک ingredient.","medium_high","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","drinks-01"
"شربت تخم شربتی","Tokhm Sharbati Drink","Iran","Iran","drink","snack","نوشیدنی تابستانی پرکاربرد.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","drinks-01"
"چای ماسالا","Masala Chai","India","India","drink","breakfast,snack","نوشیدنی جهانی محبوب.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","drinks-02"
"لیموناد کلاسیک","Classic Lemonade","USA/Global","Global","drink","snack","پایه و پرمصرف؛ باید غیر filler و دقیق باشد.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P1","drinks-02"
"آرنولد پالمر","Arnold Palmer","USA","USA","drink","snack","نوشیدنی کافه‌ای غیرالکلی شناخته‌شده.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","drinks-02"
"هات چاکلت","Hot Chocolate","Global","Global","drink","breakfast,snack","کافه‌ای محبوب و مناسب فصل سرد.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","drinks-02"
"موکا سرد","Iced Mocha","Global","Cafe","drink","snack","کافه‌ای پرکاربرد؛ باید با مواد موجود سنجیده شود.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","drinks-02"
"اسموتی موز و کره بادام زمینی","Peanut Butter Banana Smoothie","Global","Global","drink","breakfast,snack","فقط اگر allergen/کالری دقیق نمایش داده شود.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","drinks-03"
"اسموتی انبه و ماست","Mango Yogurt Smoothie","Global","Global","drink","breakfast,snack","کاربردی و ساده؛ نه filler اگر nutrition درست باشد.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P2","drinks-03"
"آب‌دوغ خیار نوشیدنی/غذای سرد","Abdoogh Khiar","Iran","Iran","cold meal","lunch,dinner","مرز نوشیدنی/غذای سرد؛ برای تابستان مهم.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","drinks-03"
"پائیا والنسیا","Paella Valenciana","Spain","Valencia","main","lunch,dinner","غذای جهانی مشهور؛ نیازمند تمایز دقیق از seafood paella.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P0","global-01"
"راتاتویی","Ratatouille","France","Provence","main","lunch,dinner","کلاسیک فرانسوی گیاهی.","high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P0","global-01"
"تاکو آل پاستور","Tacos al Pastor","Mexico","Mexico City/Puebla","main","lunch,dinner","غذای جهانی محبوب؛ نیازمند مواد خاص.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-01"
"انچیلادا مرغ","Chicken Enchiladas","Mexico","Mexico","main","lunch,dinner","غذای مکزیکی شناخته‌شده.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-01"
"رامن شیو","Shio Ramen","Japan","Japan","main","lunch,dinner","رامن کلاسیک؛ ingredient feasibility چالش دارد.","medium","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-01"
"اونیگیری سالمون","Salmon Onigiri","Japan","Japan","snack","lunch,snack","شناخته‌شده و مناسب lunchbox.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-01"
"بیبیمباپ","Bibimbap","Korea","Korea","main","lunch,dinner","غذای کره‌ای مشهور و رنگی.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-01"
"بولگوگی گوشت","Beef Bulgogi","Korea","Korea","main","lunch,dinner","کلاسیک کره‌ای محبوب.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-01"
"لاکسای مالزیایی","Laksa","Malaysia/Singapore","SEA","main","lunch,dinner","غذای جهانی جنوب شرق آسیا؛ مواد خاص دارد.","medium","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-02"
"فو بو","Pho Bo","Vietnam","Vietnam","main","lunch,dinner","غذای بسیار مشهور؛ نیازمند تکنیک آبگوشت دقیق.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-02"
"تام یام گونگ","Tom Yum Goong","Thailand","Thailand","soup","lunch,dinner","سوپ کلاسیک تایلندی.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-02"
"پد سی یو","Pad See Ew","Thailand","Thailand","main","lunch,dinner","جایگزین مهم کنار پد تای.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-02"
"چیکن تیکا ماسالا","Chicken Tikka Masala","UK/India","UK","main","lunch,dinner","بسیار شناخته‌شده؛ هویت بریتانیایی-هندی باید روشن شود.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-02"
