"product","shared_list","realtime_update","item_assignment","unavailable_flow","notes_or_item_photos","actionable_notifications","family_roles","meal_coordination","external_sharing","advisor_or_professional_review","offline_behavior","pricing_observed","family_plan","invitation_friction","documented_limit_or_failure_mode","privacy_observation","source_ids","evidence_confidence"
"Bring!","Y","Y","U","U","Y","P","U","P","P","U","U","Free core functions; paid features may exist but no current official price found","U","Account plus matching email; app surfaces invite","Official help warns invitation email can land in spam; roles and unavailable/substitution states were not verified","Collects list/recipe interests and device/account data; advertising/analytics and US processing disclosed","S01;S02;S03","HIGH"
"AnyList","Y","Y","U","U","Y","P","U","Y","P","U","U","Free core; Complete USD 9.99 individual/year or 14.99 household/year","Y","Email sharing; recipient needs AnyList account/app for collaboration","Plan email/print is not scoped advisor collaboration; unavailable/substitution states were not verified","List-by-list privacy; optional location reminders; account/usage data collected","S04;S05;S06;S07","HIGH"
"OurGroceries","Y","Y","P","U","Y","U","N","P","Y","U","U","Free with ads; guide states about USD 1/month 6/year or 20 lifetime depending on country","P","Household commonly joins one shared account; invite can sign device in; single-list link needs no account","Shared-account membership weakens attribution and per-member revocation; deleted lists cannot be undone","Same household account weakens attribution; revocable list link is scoped; US storage and ad-partner disclosures","S08;S09","HIGH"
"Apple Reminders shared lists","Y","P","Y","U","Y","P","P","U","P","U","U","Bundled Apple app; no standalone product price","N","Every collaborator needs Apple Account plus iCloud Reminders; invitation acceptance required","Collaboration is iCloud/Apple-account dependent; personal reminder notifications are not shared as household state","Owner controls participants/invite delegation; ecosystem/account dependency limits cross-platform reach","S10;S11","HIGH"
"Google Keep","Y","U","U","U","Y","P","P","U","P","U","U","No standalone price stated in reviewed official docs","P","Google identity or family group; family share is simple but all members can edit/delete","Anyone in the family group can edit or delete the shared note; no item assignment or workflow roles verified","Per-user reminder/label state differs from shared content; no scoped roles documented","S12;S13;S14","HIGH"
"Cozi","Y","Y","U","U","U","P","N","Y","P","U","Y","Free; Gold USD 39/year; Max USD 79/year; one upgrade covers family","Y","Up to 12 members but one shared password; unique emails needed for notifications","Official FAQ says all included members have full view/add/edit/delete and restricted access is unavailable","All members get full view/edit/delete access; shared password and no restricted access are negative benchmarks","S15;S16;S17;S18;S19","HIGH"
"Samsung Food","Y","U","U","U","U","U","U","Y","Y","U","U","Free core; Food+ 7-day trial then USD 6.99/month or 59.99/year on reviewed page","P","Email invite; non-account recipient can view shopping list but must create account to edit","Joining a shared meal plan replaces the collaborator's individual plan; shopping list is capped at 100 items","Processes dietary/nutrition and potentially health/location/contact/grocery/behavioral data; minimum-data design is critical","S20;S21;S22;S23;S24","HIGH"
"SideChef","U","U","U","U","P","U","U","P","U","U","U","Free download; official listing describes optional Premium; observed listing price USD 4.99/month or 49.99/year","U","U","Current official material reviewed did not verify shared household lists voice guidance or receipt scanning","Official listing discloses personal/photo and other data categories; detailed household privacy model not found","S25","MEDIUM"
"Kitchen Stories","U","U","U","U","P","U","U","U","P","U","U","Free recipe access; importer page states EUR 7.99/month or 39.99/year and 7-day trial","U","U","External importer currently states iOS-only availability; extracted recipes still require edit/review and rights handling","Private draft is documented for manual authoring; social/video imports create rights and retention obligations","S26;S27;S28","MEDIUM"
"NoWaste","U","P","U","U","P","U","U","P","U","U","U","Free with in-app purchases; one official store locale states USD 6.99/year","U","U","Multi-device sync is documented but separate-member roles/realtime semantics are not; store disclosure states data is not encrypted","Google Play developer disclosure says personal/app activity may be collected and data is not encrypted; verify platform specifics before relying on it","S29;S30","MEDIUM"
"Mealime","N","P","U","U","U","U","N","P","P","U","U","US App Store listing observed USD 2.99 plus in-app purchases; Pro subscription described at USD 2.99/month","N","Official support recommends same-account login or PDF/email because in-app multi-user sharing is absent","Official support states no in-app multi-user sharing and recommends a shared account; the page is old and may lag product changes","Same-account workaround has weak member attribution and revocation; support page is old and must be rechecked before roadmap lock","S31;S32;S33","MEDIUM"
