"recipeId","slug","titleFa","classification","exactBlocker","status","isPublic"
"garnish_recipe_fa_95_0962d2a9","abgoosht-ghanbid","آبگوشت قنبید","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_148_554e136f","ash-e-anar","آش انار","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_147_3b1b07c5","ash-e-jo","آش جو","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_79_792d1196","ash-dandooni","آش دندونی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1235_f91ccc6d","ash-doogh","آش دوغ","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_77_3adf94d4","ash-sabzi-shirazi","آش سبزی شیرازی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_870_d37ad654","albaloo-polo-ba-morgh","آلبالو پلو با مرغ یا گوشت","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_868_c97331a5","estamboli-polo","استانبولی پلو بدون گوشت","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
