path,change_type,phase,notes
docs/architecture/household-v1/01_domain_model.md,added,6,"smallest coherent tenant/domain/concurrency model"
docs/architecture/household-v1/02_permission_matrix.csv,added,6,"49 capability and negative authorization rules"
docs/architecture/household-v1/03_realtime_offline_adr.md,added,6,"transport comparison; SSE/outbox/offline decision"
docs/architecture/household-v1/04_notification_adr.md,added,6,"intent/delivery/preferences/rollback/cutover design"
docs/architecture/household-v1/05_migration_plan.md,added,6,"expand-compatible phased migration and rollback plan"
docs/architecture/household-v1/06_threat_model.md,added,7,"40-threat abuse/race/privacy model"
docs/product/household-v1/00_program_context.md,added,0,"repository and nine-prerequisite reality gate"
docs/product/household-v1/01_competitive_benchmark.md,added,1,"official-source competitive synthesis"
docs/product/household-v1/02_current_system_gap_audit.md,added,2,"20-system end-to-end current-state trace"
docs/product/household-v1/03_feature_decision_matrix.csv,added,3,"63 scored founder/new/exclusion decisions"
docs/product/household-v1/04_household_os_prd.md,added,4,"32-section bounded phased PRD"
docs/product/household-v1/05_jobs_to_be_done.md,added,4,"household decision JTBD and outcomes"
docs/product/household-v1/06_user_stories.md,added,4,"phase-scoped positive/negative stories"
docs/product/household-v1/07_non_goals.md,added,4,"explicit rejection/defer boundaries"
docs/product/household-v1/08_ux_flow_spec.md,added,5,"A-Z flows and required failure/offline states"
docs/product/household-v1/09_content_copy_spec_fa.md,added,5,"Persian actionable/privacy-safe copy"
docs/product/household-v1/10_accessibility_rtl_spec.md,added,5,"mobile RTL/accessibility acceptance spec"
docs/product/household-v1/competitor_feature_matrix.csv,added,1,"11-product evidence matrix"
docs/product/household-v1/current_capability_matrix.csv,added,2,"20-system reuse/safety classification"
docs/product/household-v1/source_register.csv,added,1,"33 official source URLs with confidence/caveats"
docs/qa/household/changed_files.csv,added,reporting,"complete 34-file change ledger"
docs/qa/household/feature_decisions.csv,added,reporting,"exact SHA-identical QA mirror of product decision matrix"
docs/qa/household/garnish_household_os_program_v1_report.md,added,reporting,"self-contained final program report"
docs/qa/household/h1_household_foundation_report.md,added,H1,"design-complete implementation-blocked report"
docs/qa/household/h2_shared_shopping_report.md,added,H2,"design-complete implementation-blocked report"
docs/qa/household/h3_notifications_report.md,added,H3,"design-complete implementation-blocked report"
docs/qa/household/h4_meal_board_report.md,added,H4,"design-complete implementation-blocked report"
docs/qa/household/h5_secure_sharing_report.md,added,H5,"deferred and implementation-blocked report"
docs/qa/household/h6_competitive_cooking_report.md,added,H6,"decision-complete deferred/blocked report"
docs/qa/household/open_risks.json,added,reporting,"structured critical/high/medium risk register"
docs/qa/household/PROGRAM_PROGRESS.md,added,reporting,"phase, evidence, blocker and next-action ledger"
docs/qa/household/test_results.json,added,reporting,"structured build/test/not-run evidence"
docs/security/household-v1/privacy_scope_matrix.csv,added,7,"37 privacy scopes/defaults/retention controls"
docs/security/household-v1/security_review.md,added,7,"tenant/token/attachment/notification/privacy security review"
