"recipeId","slug","title","sourceGroup","country","province","city","category","ingredientCount","stepCount","grisSectionCount","structuralComplete","culinaryRisk","worstSeverity","issueCount","issues"
"garnish_recipe_fa_1289_dccb626e","abdoogh-khiar","آب دوغ خیار","phase-one-v0.6.1","ایران","","","cold_soup","9","5","18","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_lite_fa_057_c1cfff50","fresh-orange-juice","آب پرتقال تازه","lite-food-v0.3","ایران","","","lite_food","1","3","0","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_93_657f87d7","abgoosht-bozbash","آبگوشت بزباش","phase-one-v0.6.1","ایران","","","soup","9","6","16","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_95_0962d2a9","abgoosht-ghanbid","آبگوشت قنبید","phase-one-v0.6.1","ایران","قم","قم","soup","10","5","16","YES","NOT_RULED","PASS","0",""
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","phase-one-v0.6.1","ایران","کرمان","کرمان","soup","12","5","16","YES","NOT_RULED","PASS","0",""
"garnish_recipe_fa_94_78034c8a","abgoosht-kashk","آبگوشت کشک","phase-one-v0.6.1","ایران","","","soup","10","5","16","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_lite_fa_068_37fec2fb","fresh-pomegranate-juice","آب‌انار تازه","lite-food-v0.3","ایران","","","lite_food","1","3","0","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_lite_fa_061_a11935fe","watermelon-juice","آب‌میوه هندوانه","lite-food-v0.3","ایران","","","lite_food","2","3","0","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_lite_fa_022_918e1afd","morning-nut-raisin-and-date-mix","آجیل و کشمش و خرما (مخلوط صبحانه)","lite-food-v0.3","ایران","","","lite_food","3","3","0","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_global_143_108_c446d87d","filipino-chicken-adobo","آدوبوی مرغ فیلیپینی","global-143-v0.3","فیلیپین","","","main_course","9","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_034_3035ba70","arancini","آرانچینی","international-core-150-v0.6.0","ایتالیا","","","appetizer","9","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7)"
"garnish_recipe_global_143_123_a69d6cde","arepas-with-cheese-and-beans","آرپای ذرتی با پنیر و لوبیا","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","bread","7","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (5/5) | P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_global_143_122_fef6d7d8","argentinian-asado-with-chimichurri","آسادوی آرژانتینی با چیمی‌چوری","global-143-v0.3","آرژانتین","","","main_course","10","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
