system,classification,current_ui_or_entry,current_backend,current_data_model,current_state_or_cache,current_tests,key_gap,reuse_decision,confidence
User/Auth,BLOCKED_BY_P0A,AuthContext and auth screens,Nest auth module with JWT/sessionEpoch,User and session/OTP models,JWT plus user/query/PWA caches,unit and component tests,"no A-logout-B cache isolation proof; P0-A unmerged",reuse only after P0-A merge and browser proof,certain
Profile,UNSAFE,onboarding/settings,users and consent services,user preferences/allergy/consent joins,local and server state can diverge,unit/component tests,"safety writes and failure semantics remain P0",do not extend into household until fixed,certain
Pantry,REUSABLE_AFTER_FIX,shopping-list pantry section,shopping-list service,PantryItem per user,TanStack/refetch,service tests,"no household scope/version/race-safe semantic identity",extract helpers and migrate explicitly,certain
Shopping List,REUSABLE_AFTER_FIX,shopping-list page/useShopping,JWT controller/service,one ShoppingList per user plus basic items,optimistic local update/refetch,service and smoke tests,"no household/session/decision/idempotency/realtime",reuse aggregation only behind new domain,certain
Meal Plans,UNSAFE,plan page/useMealPlan,meal-plans controller/service,MealPlan unique per user-week; unversioned MealSlot,optimistic cache/refetch,service/planner/smoke tests,"MealSlot duplicate race; no board/version/attendance/diff",reuse proposal/scaling helpers after integrity fixes,certain
Notifications,UNSAFE,notification center plus local settings,Notification service scheduler and INE,basic Notification row,server inbox plus local-only preferences,INE/unit/smoke tests,"prefs not server-enforced; no delivery/dedupe/action/push",replace persistence/enforcement contract,certain
PWA,UNSAFE,installed Vite PWA,Workbox generated service worker,no private-cache metadata,single broad api-cache,build/smoke only,"authenticated API caching can cross accounts",make private API network-only and add A/B E2E,certain
Query Cache,UNSAFE,TanStack queries,HTTP APIs,no cache tenant key,keys not consistently user/household partitioned,component tests,"logout does not clear user-scoped cache",centralize scope and purge on auth change,certain
Recommendation,PARTIAL,discover/plan/assistant,recommendation and planner modules,user events/profiles/outbox,TanStack plus internal outbox,many unit/eval tests,"single-user and consent P0 overlap",reuse only as explainable proposal support,likely
Cook Flow,READY_TO_REUSE,cook page/useCook,recipe and meal-slot acknowledgement,RecipeStep and cookedAt,local UI state plus API,unit/smoke/integration tests,"no household completion/verified feedback/voice contract",reuse visual shell and completion event,likely
Recipe Detail,READY_TO_REUSE,recipe detail/GRIS components,recipes service,Recipe/Ingredient/Nutrition models,TanStack queries,substantial presenter/smoke tests,"nutrition completeness and per-step quantities incomplete",reuse with honest provenance extensions,likely
Analytics/Consent,BLOCKED_BY_P0A,analytics hooks/settings,analytics service plus internal outbox,events/consents/outbox,client/server producers,many unit/eval tests,"purpose enforcement and default-off fixes unmerged",keep household metrics disabled until consent proof,certain
Media Upload,PARTIAL,avatar upload only,Multer local-disk endpoint,User.avatar plus files,static upload route,magic-byte unit tests,"not private attachment storage; no scan/EXIF/retention",do not reuse for shopping photos,certain
Realtime Event Infrastructure,MISSING,no client transport,no WebSocket/SSE gateway; internal outbox only,analytics EventOutbox,none to clients,outbox unit tests,"no subscription auth/order/resume/ack",design new minimal transport,certain
WebSocket/SSE/Polling,MISSING,no collaboration client,no delivery endpoint,none,none,none,"no realtime collaboration transport",use selected ADR option after commands exist,certain
Push Notifications,MISSING,no permission/subscription UX,no push provider or subscription service,none,none,none,"no device subscription/privacy/delivery receipts",defer until in-app quality passes,certain
Permission/Role Guards,PARTIAL,admin/user route hiding,JWT user ownership and admin guards,user adminRole only,server checks,guard/service tests,"no household membership/capabilities or IDOR matrix",build capability guard in H1,certain
Database Constraints,UNSAFE,not applicable,Prisma services,missing MealSlot and semantic item uniqueness,not applicable,mostly mocked service tests,"races not prevented by PostgreSQL",add expand-compatible identities after duplicate preflight,certain
Offline Behavior,UNSAFE,PWA response cache only,no offline command API,no command/idempotency model,broad private response cache,no critical offline E2E,"no queue/replay/auth recheck/conflict UI",first remove unsafe caching then add bounded commands,certain
External Sharing,MISSING,no share/review surface,no share API,no token/scope/comment/proposal models,none,none,"no expiry/revocation/hash-at-rest/minimum scope",build only after household authorization,certain
