source,purpose,required_or_optional,consent_requirement,runtime_switch,behavior_when_denied,behavior_after_withdrawal,db_access,test
"apps/server/src/consent/consent.service.ts#ConsentService.hasPurpose/grantedPurposes/currentGrantEpoch","consent-control","required_control","core always; optional purpose requires latest current-policy granted UserConsent; currentGrantEpoch returns max latest valid grant time for all requested purposes; read error => denied","OPTIONAL_ANALYTICS_INGEST_ENABLED / OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED (exact true; default OFF)","Returns false/null before optional processing; runtime OFF avoids ledger read in hasPurpose/currentGrantEpoch","Latest decline/withdrawal makes future calls false/null; re-grant establishes a new downstream effectiveFrom epoch; GAP: check/use race remains without transaction/locking","READ UserConsent","consent.service.spec.ts; optional-processing-boundary.spec.ts; event-outbox/exposure epoch specs"
"apps/server/src/analytics/intelligence/optional-processing-boundary.ts#currentConsentPopulation/currentEventPopulationWhere/currentObservationPopulationWhere","analytics+personalization population control","required_control","latest current-policy grant; personalization population also requires analytics grant; effectiveFrom=max current grant epochs","Both optional switches; default OFF throws honest 503 contract","Throws before optional DB reads; empty active population becomes unavailable","Filters UserEvent.timestamp / SignalObservation.observedAt >= effectiveFrom so withdrawn or pre-regrant rows are excluded","READ UserConsent; emits Prisma filters only","optional-processing-boundary.spec.ts"
"apps/web/src/lib/analytics-init.js#enableAnalytics/disableAnalytics/hasAnalyticsConsent","analytics runtime mirror and identity cleanup","optional","Only explicit server ACK may call enable; persisted grant is not trusted","Server processingEnabled mirrored in memory; no build-time activation","hasAnalyticsConsent false; session/provider identity and legacy PostHog persistence cleared","Withdrawal dispatches runtime event synchronously and clears queued client state","CLIENT memory/localStorage/sessionStorage/cookies only; no DB","analytics-init.test.js; AuthContext.test.jsx"
"apps/web/src/hooks/useAnalytics.js#useAnalytics.trackEvent","analytics event producer","optional","Local runtime true + fresh /users/consent analytics current-policy grant + processingEnabled true; server rechecks","Mirrors OPTIONAL_ANALYTICS_INGEST_ENABLED through processingEnabled","Returns null before touchSession/network when denied; canonical read failure disables runtime","Disables local runtime and future sends; in-flight request relies on server gate; no retry queue","GET /users/consent; POST /analytics/event; touches bounded client session","useAnalytics.test.jsx"
"apps/server/src/analytics/analytics.controller.ts#AnalyticsController.trackEvent","analytics event HTTP producer","optional","JWT user identity; bounded client event DTO; AnalyticsService enforces current analytics","OPTIONAL_ANALYTICS_INGEST_ENABLED via ConsentService","Returns null/no UserEvent when server denies; malformed/unknown client event rejected","Future direct calls denied after withdrawal; in-flight race delegated to AnalyticsService","CALL AnalyticsService.trackEvent; no direct DB","analytics.controller.spec.ts; analytics.consent-gate.spec.ts"
"apps/server/src/analytics/analytics.service.ts#AnalyticsService.trackEvent","analytics collection + personalization event routing","optional","Analytics checked before processing, immediately before create and after create; personalization checked before/after create before provenance promotion/outbox","Both optional switches via ConsentService; analytics OFF returns before quality/session/DB","Returns null with zero write when denied pre-create; post-create analytics withdrawal triggers targeted delete; personalization denial leaves analytics-only row and no enrichment/outbox","Future calls denied; multiple rechecks narrow races; GAP: checks/create/delete are not one transaction, delete failure and final-check race remain; UserEvent stores purpose/timestamp but not grant epoch","WRITE/targeted DELETE UserEvent(consentPurpose analytics|personalization); optional EventOutbox/enrichment","analytics.consent-gate.spec.ts; payload-sanitizer.spec.ts; event-producer inventory has stale update mock failure in full suite"
"apps/server/src/analytics/analytics.service.ts#AnalyticsService.getPopularRecipes","public popularity analytics consumer","optional","GAP: no consent requirement, provenance filter, current population, or caller","GAP: no runtime switch check","GAP: reads recipe_view UserEvent rows even when analytics is denied/OFF","GAP: withdrawn and legacy rows remain readable; re-consent epoch absent; currently no source caller found","READ UserEvent payload","GAP: no focused boundary test; method appears unused"
"apps/server/src/analytics/event-enrichment.service.ts#EventEnrichmentService.enrichEvent","personalization enrichment consumer/writer","optional","Event must have personalization provenance; current analytics+personalization checked before parse and rechecked before write","Both optional switches via ConsentService","Returns before raw-payload processing/update","Withdrawal during enrichment suppresses update via final recheck + updateMany provenance predicate; GAP: no consent effectiveFrom cutoff beyond event provenance","READ/UPDATE UserEvent enrichment; ephemeral raw payload is not persisted","event-enrichment.service.spec.ts"
"apps/server/src/ai/chat/chat-orchestration.service.ts#recordAssistantTurnEvent","server AI analytics producer","optional","Delegates to AnalyticsService; no raw prompt/reply in payload","Both optional switches through central ingest","No event/outbox when denied; assistant response still functions","Future turn events stop; central in-flight race applies","CALL AnalyticsService.trackEvent(ai_suggestion_generated)","chat-orchestration.service.spec.ts; analytics central tests"
"apps/web/src/App.jsx#RouteTracker","page_view/page_dwell/page_clicks producer","optional","hasAnalyticsConsent checked before collection and at flush","Analytics runtime event from analytics-init","Collects no navigation/click state and clears timers","Reactive withdrawal clears pending state; re-consent collects only future navigation","CLIENT state; CALL useAnalytics.trackEvent","App.route-tracker.test.jsx"
"apps/web/src/app/assistant/useAssistant.js#sendMessage/submitFeedback","ai_message_send / ai_feedback producer","optional","Delegates to useAnalytics current server revalidation","OPTIONAL_ANALYTICS_INGEST_ENABLED via runtime mirror","Analytics call returns null; chat core request remains","Future events stop and no client replay queue","CALL useAnalytics.trackEvent","GAP: no producer-specific withdrawal test; useAnalytics.test.jsx covers central gate"
"apps/web/src/app/cook/[id]/useCook.js#startCooking/completeCooking","start_cooking_click / cook_complete / recommendation_cook producer","optional","Delegates to useAnalytics; requestId only from consent-gated attribution recall","Analytics runtime mirror","Cooking feature continues; optional events are dropped","Future events stop; no retry queue","CALL useAnalytics.trackEvent; READ client recommendation attribution","useCook.test.js; useAnalytics.test.jsx"
"apps/web/src/app/discover/useDiscovery.js#runSearch","search_query / search_unmet producer","optional","Delegates to useAnalytics; payload stores shape counts, not raw query","Analytics runtime mirror","Search continues with zero event","Future search events stop; no queued replay","CALL useAnalytics.trackEvent","useDiscovery tests; useAnalytics.test.jsx"
"apps/web/src/app/home/page.jsx#recommendation/favorite handlers","recommendation_click/save + favorite_add/remove producer","optional","Delegates to useAnalytics; requestId shape is stored only while analytics runtime active","Analytics runtime mirror","Home/favorites continue; event calls return null","Future events stop; GAP: attribution store is analytics-only and is not cleared on personalization withdrawal","CALL useAnalytics.trackEvent; WRITE/READ client attribution map","home smoke tests; recommendationAttribution.test.js; useAnalytics.test.jsx"
"apps/web/src/app/plan/page.jsx#swap/remove/add/markCooked handlers","recommendation_dismiss / mealplan_add/remove / cook_complete producer","optional","Delegates to useAnalytics","Analytics runtime mirror","Plan operations continue; event calls return null","Future events stop; no replay queue","CALL useAnalytics.trackEvent","plan tests; useAnalytics.test.jsx"
