recipeId,slug,titleFa,sourceGroup,cuisineOrigin,score,repairPriority,confidence,ingredientCount,stepCount,failedSections,blockers
garnish_recipe_fa_1519_9d69f5f1,garnish_recipe_fa_1519_9d69f5f1,موهیتو کلاسیک,Phase One,Iranian,32,HIGH,HIGH,4,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1564_e9a872de,garnish_recipe_fa_1564_e9a872de,اسموتی هندوانه,Phase One,Iranian,34,HIGH,HIGH,3,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1514_82bb4541,garnish_recipe_fa_1514_82bb4541,شربت گلاب,Phase One,Iranian,34,HIGH,HIGH,3,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_2039_b49f818c,garnish_recipe_fa_2039_b49f818c,رد موهیتو,Phase One,Iranian,35,HIGH,HIGH,4,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1520_8cec648d,garnish_recipe_fa_1520_8cec648d,لیموناد,Phase One,Iranian,35,HIGH,HIGH,4,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1563_68a06056,garnish_recipe_fa_1563_68a06056,اسموتی توت‌فرنگی,Phase One,Iranian,36,HIGH,HIGH,5,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_2014_249aa268,garnish_recipe_fa_2014_249aa268,خمیر پیتزا ایتالیایی,Phase One,Foreign,36,HIGH,HIGH,5,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_185_c892351b,garnish_recipe_fa_185_c892351b,سمنو,Phase One,Iranian,36,HIGH,HIGH,2,6,glance; ingredients; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1510_2d1f8557,garnish_recipe_fa_1510_2d1f8557,شربت خیار سکنجبین,Phase One,Iranian,36,HIGH,HIGH,5,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1555_00844d92,garnish_recipe_fa_1555_00844d92,شیر پسته,Phase One,Iranian,36,HIGH,HIGH,5,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_2099_2ce15e17,garnish_recipe_fa_2099_2ce15e17,پیتزا مارگاریتا,Phase One,Foreign,37,HIGH,HIGH,6,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1513_1e7a7b4f,garnish_recipe_fa_1513_1e7a7b4f,شربت بهار نارنج,Phase One,Iranian,37,HIGH,HIGH,3,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_121_b6f01192,garnish_recipe_fa_121_b6f01192,املت رب,Phase One,Iranian,38,HIGH,HIGH,6,6,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1496_5705c3de,garnish_recipe_fa_1496_5705c3de,رنگینک,Phase One,Iranian,38,HIGH,HIGH,7,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1332_682d694b,garnish_recipe_fa_1332_682d694b,سیب زمینی سرخ کرده,Phase One,Iranian,38,HIGH,HIGH,4,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1547_eade852f,garnish_recipe_fa_1547_eade852f,کاچی,Phase One,Iranian,38,HIGH,HIGH,7,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_111_4cb37a1a,garnish_recipe_fa_111_4cb37a1a,کته شمالی,Phase One,Iranian,38,HIGH,HIGH,4,6,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1289_dccb626e,garnish_recipe_fa_1289_dccb626e,آب دوغ خیار,Phase One,Iranian,39,HIGH,HIGH,9,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1554_6e31eecc,garnish_recipe_fa_1554_6e31eecc,اسموتی طالبی,Phase One,Iranian,39,HIGH,HIGH,5,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_intl_022_ac4d3143,garnish_recipe_intl_022_ac4d3143,تورتیای اسپانیایی,International Core,Foreign,39,HIGH,HIGH,5,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
garnish_recipe_fa_1553_fc9a29b8,garnish_recipe_fa_1553_fc9a29b8,دیتاکس واتر,Phase One,Iranian,39,HIGH,HIGH,5,5,glance; whyItWorks; skills; finish; troubleshooting; keep/storage; faq,
