path,classification,owning_agent,finding,reason,may_edit,expected_test,final_status
apps/server/src/consent/optional-processing-transaction-boundary.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Canonical per-user transaction and User-row lock,yes,unit plus real PostgreSQL interleavings,implemented
apps/server/src/consent/optional-processing-transaction-boundary.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Boundary retry runtime policy and rollback contract,yes,focused Jest,tested
apps/server/src/consent/optional-processing-transaction-boundary.integration.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Required non-mock lock interleavings,yes,dedicated disposable PostgreSQL,tested
apps/server/src/consent/consent.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Consent reads and mutations must share the boundary,yes,consent and interleaving tests,implemented
apps/server/src/consent/consent.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Consent transaction contract,yes,focused Jest,tested
apps/server/src/users/users.service.ts,CORE_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Grant and withdrawal mutation entrypoint,yes,users-consent and onboarding tests,implemented
apps/server/src/users/users-consent.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Grant withdrawal and policy behavior,yes,focused Jest,tested
apps/server/src/users/users-onboarding.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Onboarding consent transaction compatibility,yes,focused Jest,tested
apps/server/src/analytics/analytics.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Primary optional UserEvent writer,yes,analytics consent and DB race tests,implemented
apps/server/src/analytics/analytics.consent-gate.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,No compensation safety invariant,yes,focused Jest,tested
apps/server/src/analytics/event-enrichment.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Optional derived event mutation,yes,enrichment focused tests,implemented
