severity,phrase,allowlistStatus,reason
"HIGH","این اطلاعات عمومی و آشپزی است، نه توصیهٔ پزشکی","ALLOWLISTED","Standardized safety/nutrition disclaimer; allowed because it prevents medical or fabricated nutrition claims."
"HIGH","جایگزین را ساده نگه دار: ماده‌ای با طعم و بافت نزدیک انتخاب کن، و اگر به چیزی حساسیت داری همان ماده را حذف یا با گزینه امن خودت عوض کن","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","چون آماده‌سازی آن کوتاه است و بیشتر از چند حرکت ساده نیاز ندارد؛ با این حال مقدارها دقیق نوشته شده‌اند تا نتیجه قابل تکرار باشد","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","مقدار مواد برای یک نفر نوشته شده؛ برای چند نفر، همه مواد را به همان نسبت بیشتر کن","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","همان موقع سرو کن تا نان، میوه یا سبزیجات بافت تازه‌تری داشته باشند","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","مواد را ساده و مرتب کنار هم بگذار، مخلوط کن یا داخل نان بچین","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","مواد را بیش از حد مخلوط یا له نکن تا بافت اصلی آیتم حفظ شود","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","مواد را طبق مقدارهای نوشته‌شده آماده کن و کنار دستت بگذار","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","همان موقع سرو کن تا بافت و طعم مواد تازه بماند","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","چرا این آیتم سبک است؟","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","برای این دستور عدد کالری در دادهٔ فعلی موجود نیست","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","این آیتم با مواد قابل‌دسترس طراحی شده و برای برنامه غذایی، جستجو و لیست خرید آماده است","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","واقعی: جایگزین واقعی ندارد","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","این توضیح عمومی است و با مقدار سرو و مواد تغییر می‌کند","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"HIGH","نکته خرید: روغن تازه و مناسب حرارت انتخاب کنید","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","1 قاشق چای‌خوری (ضروری)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","جایگزین واقعی ندارد؛ حذف یا تعویض آن هویت یا بافت غذا را تغییر می‌دهد","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","5 قاشق چای‌خوری (ضروری)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","این توضیح برای درک عمومی ترکیب غذاست و با اندازهٔ سهم، روغن جذب‌شده یا همراه‌های سرو تغییر می‌کند","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
