capability,resource_action,OWNER,ADULT,MEMBER,GUEST_SHOPPER,MANAGED_PROFILE,PLAN_VIEWER,PLAN_REVIEWER,OUTSIDER_OR_REMOVED,condition,deny_contract,audit_event
HOUSEHOLD_READ,Read household name/status,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Guest sees minimum identity only while membership and assigned session are active; managed profiles have no direct session",404,NONE
HOUSEHOLD_MANAGE,Edit household name/timezone,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,DENY,"Active household; fresh expectedVersion",404_or_409,HOUSEHOLD_UPDATED
HOUSEHOLD_ARCHIVE,Archive or restore household,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,DENY,"Fresh authentication; expectedVersion; no deletion job active",404_or_409,HOUSEHOLD_ARCHIVED_OR_RESTORED
HOUSEHOLD_DELETE,Start or cancel household deletion,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,DENY,"Fresh authentication; explicit confirmation; cooling-off policy",404_or_409,HOUSEHOLD_DELETE_REQUESTED_OR_CANCELLED
OWNER_TRANSFER,Transfer ownership,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,DENY,"Target is an active non-guest member; caller is current owner; household row locked; fresh authentication",404_or_409,OWNER_TRANSFERRED
MEMBER_LIST,Read member display profiles,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Guest sees only display names needed by assigned active shopping session; sensitive fields excluded",404,NONE
MEMBER_INVITE,Create or resend invite,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,"Requested role cannot be owner; targetUserId or versioned target-address HMAC is mandatory; resend rotates token and revokes prior pending secret",404_or_409,INVITE_CREATED
MEMBER_INVITE_REVOKE,Revoke pending invite,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,DENY,"Adult may revoke an invite they created; owner may revoke any invite",404,INVITE_REVOKED
MEMBER_ROLE_SET,Change adult/member/guest role,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,DENY,"Cannot set OWNER; owner transfer uses its dedicated transaction; guest requires expiry",404_or_409,MEMBER_ROLE_CHANGED
MEMBER_REMOVE,Remove a member,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,DENY,"Cannot remove owner; active target in same household; owner reauthenticated for an adult target",404_or_409,MEMBER_REMOVED
MEMBER_LEAVE,Leave household,ALLOW,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,"Owner must transfer ownership or delete household first; guest may leave before expiry",409,MEMBER_LEFT
MANAGED_PROFILE_CREATE,Create managed eater profile,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,"Creator becomes manager; no credentials or invite",404,MANAGED_PROFILE_CREATED
MANAGED_PROFILE_EDIT,Edit managed eater display profile,CONDITIONAL,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,DENY,"Owner or adult must be the designated manager; otherwise only a separate audited manager-transfer/emergency process is allowed and grants no raw-data read",404,MANAGED_PROFILE_UPDATED
MANAGED_PROFILE_DELETE,Delete managed eater profile,CONDITIONAL,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,DENY,"Owner or adult must be designated manager; separate audited manager-transfer/emergency process does not itself delete; block or reassign future attendance",404_or_409,MANAGED_PROFILE_DELETED
PRIVACY_GRANT_SELF,Grant or revoke own household data scope,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,"Caller may act only for their linked profile; grant is scope-specific and revocable",404,DATA_GRANT_CHANGED
PRIVACY_GRANT_MANAGED,Grant or revoke managed-profile data scope,CONDITIONAL,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,DENY,"Owner or adult must be designated profile manager; owner has no implicit right; manager transfer is a separate audited process",404,DATA_GRANT_CHANGED
PRIVATE_PROFILE_READ,Read raw allergies health goals private notes or nutrition history,CONDITIONAL,CONDITIONAL,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,"Only the data subject reads their own raw data; a managed profile's manager reads its raw data; OWNER role alone grants nothing",404_or_redacted,PRIVATE_DATA_ACCESSED
SAFETY_CONSTRAINT_USE,Use allergy/diet constraint in server-side filtering,CONDITIONAL,CONDITIONAL,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,"Active ALLERGY_SAFETY_USE or DIETARY_CONSTRAINT_USE grant; return outcome without raw value",redacted,NONE
ACTIVITY_READ,Read household activity timeline,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,CONDITIONAL,DENY,"Household members receive sensitivity-filtered events; guest only assigned-session events; reviewer only events explicitly part of shared review",404,NONE
SECURITY_AUDIT_READ,Read security-grade household audit,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,DENY,"Owner only; fields redacted and retention bounded",404,SECURITY_AUDIT_VIEWED
PANTRY_READ,Read shared pantry,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,"Active household; household pantry only",404,NONE
PANTRY_WRITE,Add edit archive shared pantry item,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,"ExpectedVersion and semantic-key uniqueness; no receipt auto-apply",404_or_409,PANTRY_ITEM_CHANGED
SHOPPING_READ,Read shared shopping list/items,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Guest must be assigned to active list/session and unexpired",404,NONE
SHOPPING_WRITE,Add edit or remove shopping item,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Guest is limited to assigned list during active membership/session; expectedVersion; actor profile must be allowed",404_or_409,SHOPPING_ITEM_CHANGED
SHOPPING_ASSIGN,Assign item to shopper,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Assignee is active member; guest may claim or release self only",404_or_409,SHOPPING_ITEM_ASSIGNED
SHOPPING_SESSION_START,Start shopping session,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,"One active session per list; explicit user action; no location tracking",404_or_409,SHOPPING_SESSION_STARTED
SHOPPING_SESSION_PARTICIPATE,Claim mark in-cart bought or unavailable,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Guest assigned to the active session; status transition allowlist and expectedVersion",404_or_409,SHOPPING_ITEM_STATUS_CHANGED
