"recipeId","slug","titleFa","exactBlocker"
"garnish_recipe_fa_95_0962d2a9","abgoosht-ghanbid","آبگوشت قنبید","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_148_554e136f","ash-e-anar","آش انار","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_147_3b1b07c5","ash-e-jo","آش جو","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_79_792d1196","ash-dandooni","آش دندونی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1235_f91ccc6d","ash-doogh","آش دوغ","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_77_3adf94d4","ash-sabzi-shirazi","آش سبزی شیرازی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_870_d37ad654","albaloo-polo-ba-morgh","آلبالو پلو با مرغ یا گوشت","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_868_c97331a5","estamboli-polo","استانبولی پلو بدون گوشت","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_113_2a1debd0","anar-polo-shirazi","انارپلو شیرازی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_862_dbf3d4d5","baghali-polo-ba-goosht","باقالی پلو با گوشت","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_96_730b7817","boz-ghormeh-kermani","بزقرمه کرمانی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1276_cdef73d2","tas-kabab","تاس‌کباب","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_216_1bfdfe55","saffron-joojeh-kabab","جوجه کباب زعفرانی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_101_877a41d3","khoresh-aloo","خورش آلو","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_098_0fbf4374","irish-stew","خورش ایرلندی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_190_49162ac2","khoresh-morgh-qeysi","خورش مرغ قیسی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1251_3f83f105","khoresh-bademjan","خورشت بادمجان","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
