"recipeId","slug","title","region","source","issue"
"garnish_recipe_fa_1289_dccb626e","abdoogh-khiar","آب دوغ خیار","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_lite_fa_057_c1cfff50","fresh-orange-juice","آب پرتقال تازه","persian","lite-food-v0.3","iranian_city_province_may_need_precision"
"garnish_recipe_fa_93_657f87d7","abgoosht-bozbash","آبگوشت بزباش","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_95_0962d2a9","abgoosht-ghanbid","آبگوشت قنبید","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_94_78034c8a","abgoosht-kashk","آبگوشت کشک","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_lite_fa_068_37fec2fb","fresh-pomegranate-juice","آب‌انار تازه","persian","lite-food-v0.3","iranian_city_province_may_need_precision"
"garnish_lite_fa_061_a11935fe","watermelon-juice","آب‌میوه هندوانه","persian","lite-food-v0.3","iranian_city_province_may_need_precision"
"garnish_lite_fa_022_918e1afd","morning-nut-raisin-and-date-mix","آجیل و کشمش و خرما (مخلوط صبحانه)","persian","lite-food-v0.3","iranian_city_province_may_need_precision"
"garnish_recipe_global_143_108_c446d87d","filipino-chicken-adobo","آدوبوی مرغ فیلیپینی","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_intl_034_3035ba70","arancini","آرانچینی","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_global_143_123_a69d6cde","arepas-with-cheese-and-beans","آرپای ذرتی با پنیر و لوبیا","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_global_143_122_fef6d7d8","argentinian-asado-with-chimichurri","آسادوی آرژانتینی با چیمی‌چوری","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_fa_148_554e136f","ash-e-anar","آش انار","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_78_26989900","ash-torsh-gilani","آش ترش گیلانی","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_147_3b1b07c5","ash-e-jo","آش جو","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_79_792d1196","ash-dandooni","آش دندونی","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_1235_f91ccc6d","ash-doogh","آش دوغ","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_1208_434b3a9a","ash-reshteh","آش رشته","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_77_3adf94d4","ash-sabzi-shirazi","آش سبزی شیرازی","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_119_2a846a21","ash-shooli-yazdi","آش شولی یزدی","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_fa_870_d37ad654","albaloo-polo-ba-morgh","آلبالو پلو با مرغ یا گوشت","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_global_143_088_e5346ddb","alfajores-dulce-de-leche","آلفاخورس با دولسه د لچه","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_global_143_022_a1009be1","smashed-avocado-toast","آووکادو تست له‌شده","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_intl_095_c9024579","avgolemono","آوگولمونو","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_global_143_033_4844ee49","watermelon-agua-fresca","آگوا فرسکای هندوانه","international","global-143-v0.3","international_country_region_weak"
"garnish_lite_fa_054_40007b8f","iced-matcha-latte","آیس ماچا لاته","international","lite-food-v0.3","international_country_region_weak"
"garnish_lite_fa_064_769340cd","iced-green-tea-with-lemon","آیس چای سبز با لیمو","international","lite-food-v0.3","international_country_region_weak"
"garnish_recipe_intl_112_cb59927d","eton-mess","اتن مس","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_global_143_052_fd0a302b","salted-edamame","ادامامه نمکی","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_global_143_104_31c06413","home-style-peking-duck","اردک پکنی خانگی","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_intl_028_ecdcc65f","stamppot","استامپوت (پوره سیب‌زمینی و کلم ترش)","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_fa_868_c97331a5","estamboli-polo","استانبولی پلو بدون گوشت","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_intl_070_ef1a1272","stroopwafel","استروپ‌وافل","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_lite_fa_052_cbf1699d","pineapple-coconut-smoothie","اسموتی آناناس و نارگیل","international","lite-food-v0.3","international_country_region_weak"
"garnish_lite_fa_066_09614bdf","avocado-smoothie","اسموتی آووکادو","international","lite-food-v0.3","international_country_region_weak"
"garnish_lite_fa_018_03b6b930","mango-yogurt-smoothie","اسموتی انبه و ماست","international","lite-food-v0.3","international_country_region_weak"
"garnish_recipe_fa_1563_68a06056","strawberry-smoothie","اسموتی توت‌فرنگی","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_lite_fa_019_37a117f6","date-and-cacao-smoothie","اسموتی خرما و کاکائو","international","lite-food-v0.3","international_country_region_weak"
"garnish_lite_fa_062_0b593690","chocolate-banana-smoothie","اسموتی شکلات و موز","international","lite-food-v0.3","international_country_region_weak"
"garnish_recipe_fa_1554_6e31eecc","cantaloupe-smoothie","اسموتی طالبی","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_lite_fa_056_6f618741","peach-yogurt-smoothie","اسموتی هلو و ماست","international","lite-food-v0.3","international_country_region_weak"
"garnish_recipe_fa_1564_e9a872de","watermelon-smoothie","اسموتی هندوانه","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
"garnish_recipe_global_143_143_6060b21f","danish-smorrebrod-herring","اسموربرود دانمارکی با شاه‌ماهی","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_intl_036_e0780696","spanakopita","اسپاناکوپیتا","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_intl_123_e8fa3267","spaghetti-al-limone","اسپاگتی آل لیمونه","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_intl_062_ce31c267","spaghetti-aglio-e-olio","اسپاگتی سیر و روغن","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_global_143_135_2919e78e","roman-spaghetti-carbonara","اسپاگتی کاربونارای رومی","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_global_143_024_194514e6","espresso-double-shot","اسپرسوی دوبل خانگی","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_global_143_039_d8dc5a96","vietnamese-fresh-spring-rolls","اسپرینگ رول تازه ویتنامی","international","global-143-v0.3","international_country_region_weak"
"garnish_recipe_intl_115_bd72c652","speculaas","اسپکولاس","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_intl_117_d8d3d0ac","espinacas-con-garbanzos","اسپیناکاس کن گاربانثوس","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_intl_084_fb10b1a9","scones","اسکونز","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_intl_069_b980b37b","apple-strudel","اشترودل سیب","international","international-core-150-v0.6.0","international_country_region_weak"
"garnish_recipe_fa_1334_8963bd85","meat-strudel","اشترودل گوشت","persian","phase-one-v0.6.1","iranian_city_province_may_need_precision"
