"recipeId","slug","titleFa","titleEn","country","cityRegion","sourceGroup","dishType","culinaryClass","ingredientCount","stepCount","grisCompleteness","notRuledReason","priority","recommendedAction"
"garnish_recipe_fa_95_0962d2a9","abgoosht-ghanbid","آبگوشت قنبید","Abgoosht Ghanbid","ایران","قم","phase-one-v0.6.1","soup|main_course","cooked","10","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","Abgoosht Matanjaneh Kermani","ایران","کرمان","phase-one-v0.6.1","soup|main_course","cooked","12","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_94_78034c8a","abgoosht-kashk","آبگوشت کشک","Abgoosht Kashk","ایران","","phase-one-v0.6.1","soup|main_course","cooked","10","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_148_554e136f","ash-e-anar","آش انار","Ash E Anar","ایران","","phase-one-v0.6.1","soup","cooked","11","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_147_3b1b07c5","ash-e-jo","آش جو","Ash E Jo","ایران","","phase-one-v0.6.1","soup","cooked","10","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_79_792d1196","ash-dandooni","آش دندونی","Ash Dandooni","ایران","","phase-one-v0.6.1","soup","cooked","10","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1235_f91ccc6d","ash-doogh","آش دوغ","Ash Doogh","ایران","","phase-one-v0.6.1","main","cooked","8","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1208_434b3a9a","ash-reshteh","آش رشته","Ash Reshteh","ایران","","phase-one-v0.6.1","main","cooked","13","5","complete","Tier 1 canonical dish needs source-backed rule.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_77_3adf94d4","ash-sabzi-shirazi","آش سبزی شیرازی","Ash Sabzi Shirazi","ایران","شیراز","phase-one-v0.6.1","soup","cooked","9","6","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","Ash Sholeh Ghalamkar","ایران","","phase-one-v0.6.1","main","cooked","13","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
