"recipeId","title","simple","weakSteps","weakIngredients","classification"
"garnish_lite_fa_057_c1cfff50","آب پرتقال تازه","true","0","0","INGREDIENT_METADATA_WEAK"
"garnish_lite_fa_068_37fec2fb","آب‌انار تازه","true","0","0","INGREDIENT_METADATA_WEAK"
"garnish_lite_fa_061_a11935fe","آب‌میوه هندوانه","true","0","0","INGREDIENT_METADATA_WEAK"
"garnish_lite_fa_022_918e1afd","آجیل و کشمش و خرما (مخلوط صبحانه)","true","0","0","INGREDIENT_METADATA_WEAK"
"garnish_recipe_global_143_108_c446d87d","آدوبوی مرغ فیلیپینی","true","6","0","ACCEPTABLE_SIMPLE_NON_COOKING"
"garnish_recipe_intl_034_3035ba70","آرانچینی","true","7","0","ACCEPTABLE_SIMPLE_NON_COOKING"
"garnish_recipe_global_143_123_a69d6cde","آرپای ذرتی با پنیر و لوبیا","true","5","0","ACCEPTABLE_SIMPLE_NON_COOKING"
"garnish_recipe_global_143_122_fef6d7d8","آسادوی آرژانتینی با چیمی‌چوری","true","6","0","ACCEPTABLE_SIMPLE_NON_COOKING"
"garnish_recipe_fa_148_554e136f","آش انار","false","6","0","TRUE_WEAK_COOKED_RECIPE"
"garnish_recipe_fa_78_26989900","آش ترش گیلانی","true","0","1","ACCEPTABLE_SIMPLE_NON_COOKING"
"garnish_recipe_fa_147_3b1b07c5","آش جو","false","7","0","TRUE_WEAK_COOKED_RECIPE"
"garnish_recipe_fa_79_792d1196","آش دندونی","false","6","0","TRUE_WEAK_COOKED_RECIPE"
"garnish_recipe_global_143_088_e5346ddb","آلفاخورس با دولسه د لچه","true","6","0","ACCEPTABLE_SIMPLE_NON_COOKING"
"garnish_recipe_global_143_022_a1009be1","آووکادو تست له‌شده","true","5","0","ACCEPTABLE_SIMPLE_NON_COOKING"
"garnish_recipe_intl_095_c9024579","آوگولمونو","false","6","0","TRUE_WEAK_COOKED_RECIPE"
"garnish_lite_fa_054_40007b8f","آیس ماچا لاته","true","0","0","INGREDIENT_METADATA_WEAK"
"garnish_lite_fa_064_769340cd","آیس چای سبز با لیمو","true","0","0","INGREDIENT_METADATA_WEAK"
"garnish_recipe_intl_112_cb59927d","اتن مس","false","6","6","TRUE_WEAK_COOKED_RECIPE"
"garnish_recipe_global_143_052_fd0a302b","ادامامه نمکی","true","5","0","ACCEPTABLE_SIMPLE_NON_COOKING"
