"source","gap_text","classification","active_path","runtime_switch","transaction_boundary","evidence","owner","final_status"
"apps/server/src/consent/consent.service.ts#ConsentService.hasPurpose/grantedPurposes/currentGrantEpoch","Latest decline/withdrawal makes future calls false/null; re-grant establishes a new downstream effectiveFrom epoch; GAP: check/use race remains without transaction/locking","ACTIVE_GATED","canonical current-policy consent read; consent mutations use the shared per-user lock","OPTIONAL_ANALYTICS_INGEST_ENABLED / OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED (exact true; default OFF)","same User-row transaction boundary for grant/withdrawal mutations","apps/server/src/consent/consent.service.spec.ts; apps/server/src/consent/optional-processing-transaction-boundary.service.spec.ts","Transaction Boundary Engineer","closed_current_policy_and_serialized_mutation"
"apps/server/src/analytics/analytics.service.ts#AnalyticsService.trackEvent","Future calls denied; multiple rechecks narrow races; GAP: checks/create/delete are not one transaction, delete failure and final-check race remain; UserEvent stores purpose/timestamp but not grant epoch","ACTIVE_GATED","active analytics ingest writer","Both optional switches via ConsentService; analytics OFF returns before quality/session/DB","shared boundary encloses consent decision plus UserEvent create/update","apps/server/src/analytics/analytics.consent-gate.spec.ts; apps/server/src/consent/optional-processing-transaction-boundary.integration.spec.ts","Transaction Boundary Engineer","closed_transactional_writer"
"apps/server/src/analytics/analytics.service.ts#AnalyticsService.getPopularRecipes","GAP: no consent requirement, provenance filter, current population, or caller || GAP: no runtime switch check || GAP: reads recipe_view UserEvent rows even when analytics is denied/OFF || GAP: withdrawn and legacy rows remain readable; re-consent epoch absent; currently no source caller found || GAP: no focused boundary test; method appears unused","READ_ONLY_FILTERED","active aggregate read only after current analytics population is resolved","OPTIONAL_ANALYTICS_INGEST_ENABLED enforced by requireCurrentConsentPopulation; default OFF","not applicable; read-only current-population filter","apps/server/src/analytics/analytics.consent-gate.spec.ts; apps/server/src/analytics/intelligence/optional-processing-boundary.ts","Analytics Privacy Owner","closed_current_population_read"
"apps/server/src/analytics/event-enrichment.service.ts#EventEnrichmentService.enrichEvent","Withdrawal during enrichment suppresses update via final recheck + updateMany provenance predicate; GAP: no consent effectiveFrom cutoff beyond event provenance","ACTIVE_GATED","active enrichment write with pre-lock work and final locked mutation","Both optional switches via ConsentService","shared boundary revalidates expected epoch before UserEvent updateMany","apps/server/src/analytics/event-enrichment.service.spec.ts; apps/server/src/analytics/event-enrichment.service.ts","Transaction Boundary Engineer","closed_transactional_writer"
"apps/web/src/app/assistant/useAssistant.js#sendMessage/submitFeedback","GAP: no producer-specific withdrawal test; useAnalytics.test.jsx covers central gate","ACTIVE_GATED","web producer delegates to central client deny gate and server transactional ingest","OPTIONAL_ANALYTICS_INGEST_ENABLED via runtime mirror","server trackEvent boundary is authoritative; browser mirror is early deny only","apps/web/src/hooks/useAnalytics.test.jsx; apps/server/src/analytics/analytics.consent-gate.spec.ts","Web Consent Owner","closed_central_gate"
"apps/web/src/app/home/page.jsx#recommendation/favorite handlers","Future events stop; GAP: attribution store is analytics-only and is not cleared on personalization withdrawal","ACTIVE_GATED","recommendation and favorite handlers use central telemetry gate; local attribution requires both purpose mirrors","Analytics runtime mirror","server writer is transactional; local store is purged when either purpose is inactive","apps/web/src/lib/recommendationAttribution.test.js; apps/web/src/app/settings/useSettings.test.jsx","Web Consent Owner","closed_dual_purpose_local_gate"
"apps/web/src/lib/recommendationAttribution.js#rememberRecommendation/recallRecommendation","Analytics withdrawal clears on next access/central cleanup; GAP: personalization-only withdrawal leaves old requestIds, so re-consent is not epoch-partitioned || recommendationAttribution.test.js; GAP: no personalization-withdrawal/re-consent test","ACTIVE_GATED","bounded local attribution store requires analytics plus personalization mirrors","Analytics runtime mirror","not applicable to DB; server event write remains transactional","apps/web/src/lib/recommendationAttribution.test.js; apps/web/src/app/settings/useSettings.js","Web Consent Owner","closed_local_withdrawal_cleanup"
"apps/server/src/behavior-engine/routing/event-outbox.service.ts#EventOutboxService.enqueue","Withdrawal denies; re-grant cannot enqueue an older event; GAP: UserEvent lookup precedes per-user epoch because API accepts only eventId","ACTIVE_GATED","active optional outbox enqueue","Both optional switches checked before event/outbox IO","shared boundary encloses event provenance check and EventOutbox upsert","apps/server/src/behavior-engine/routing/event-outbox.service.spec.ts; apps/server/src/behavior-engine/routing/event-outbox.service.ts","Transaction Boundary Engineer","closed_transactional_writer"
"apps/server/src/behavior-engine/routing/event-outbox.service.ts#EventOutboxService.processNow","Withdrawal is terminal; re-grant never replays an event older than the new max epoch; GAP: narrow final-check-to-router race remains","ACTIVE_GATED","active fast path delegates every derived optional mutation to EventRouter; outbox status transitions are control-plane completion or suppression","Both canonical optional switches are checked before route dispatch","EventRouter opens the shared joint-purpose boundary, revalidates event epoch, and passes its locked transaction client to the processor","apps/server/src/behavior-engine/routing/event-outbox.service.ts; apps/server/src/behavior-engine/routing/event-router.service.ts; apps/server/src/consent/optional-processing-transaction-boundary.integration.spec.ts","Transaction Boundary Engineer","closed_delegated_transactional_writer"
"apps/server/src/behavior-engine/behavior-engine-scheduler.service.ts#drainOutbox","GAP: no personalization runtime precheck || GAP: cron touches optional queue/event tables while OFF || GAP: scheduler runtime-OFF test does not cover drainOutbox","ACTIVE_GATED","scheduler returns before queue discovery when personalization is OFF; EventOutbox returns before queue I/O when either canonical switch is OFF","Scheduler checks personalization before drain; EventOutbox checks analytics plus personalization before optional queue I/O","all derived processor mutations reached by drain execute inside EventRouter's shared joint-purpose boundary; queue status changes are control-plane lifecycle writes","apps/server/src/behavior-engine/behavior-engine-scheduler.service.ts; apps/server/src/behavior-engine/routing/event-outbox.service.ts; apps/server/src/behavior-engine/routing/event-router.service.ts","Transaction Boundary Engineer","closed_off_before_discovery_and_delegated_writer"
"apps/server/src/behavior-engine/behavior-engine-scheduler.service.ts#handleCron","Future runs skip withdrawn users; GAP: active re-consent can reuse old provenanced events because no effectiveFrom cutoff","ACTIVE_GATED","scheduler returns before UserEvent discovery while OFF; per-user derived profile write is epoch-filtered and locked","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED explicit pre-IO gate","BehaviorEngineService owns the shared write boundary with expected epoch","apps/server/src/behavior-engine/behavior-engine.consent-boundary.spec.ts; apps/server/src/behavior-engine/behavior-engine-scheduler.service.ts","Coordinator ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Behavior Engine","closed_off_before_discovery_and_writer_locked"
"apps/server/src/behavior-engine/routing/event-router.service.ts#EventRouterService.route","Runtime OFF blocks direct bypass; GAP: runtime ON direct invocation still relies on caller for per-user epoch","ACTIVE_GATED","only production caller of processor.process; route fails closed before registry dispatch and validates event provenance inside the lock","Both canonical optional switches checked before registry dispatch","route opens the shared joint-purpose boundary and supplies the locked transaction client to the selected processor","apps/server/src/behavior-engine/routing/event-router.service.ts; apps/server/src/behavior-engine/routing/processor.registry.ts; apps/server/src/behavior-engine/routing/event-router.service.spec.ts","Transaction Boundary Engineer","closed_canonical_router_boundary"
"apps/server/src/behavior-engine/processors/recipe.signal-processor.ts#RecipeSignalProcessor.process","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","ACTIVE_GATED","active only through EventRouter; processor requires the locked transaction client and writes every observation through it","Personalization runtime checked in processor; EventRouter additionally requires both canonical switches","SignalObservation and locked signal-calculator mutations reuse EventRouter's transaction; no nested transaction","apps/server/src/behavior-engine/processors/recipe.signal-processor.ts; apps/server/src/behavior-engine/routing/event-router.service.ts; apps/server/src/behavior-engine/processors/direct-processor-runtime-gates.spec.ts","Transaction Boundary Engineer","closed_locked_transaction_reuse"
"apps/server/src/behavior-engine/processors/recommendation.signal-processor.ts#RecommendationSignalProcessor.process","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","ACTIVE_GATED","active only through EventRouter; attribution and observation writes require its locked transaction client","Personalization runtime checked in processor; EventRouter additionally requires both canonical switches","attribution, SignalObservation and signal-calculator mutations reuse EventRouter's transaction","apps/server/src/behavior-engine/processors/recommendation.signal-processor.ts; apps/server/src/behavior-engine/routing/event-router.service.ts; apps/server/src/behavior-engine/processors/direct-processor-runtime-gates.spec.ts","Transaction Boundary Engineer","closed_locked_transaction_reuse"
"apps/server/src/behavior-engine/processors/meal-plan.signal-processor.ts#MealPlanSignalProcessor.process","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","ACTIVE_GATED","active only through EventRouter; processor requires its locked transaction client","Personalization runtime checked in processor; EventRouter additionally requires both canonical switches","all observation and signal-calculator mutations reuse EventRouter's transaction","apps/server/src/behavior-engine/processors/meal-plan.signal-processor.ts; apps/server/src/behavior-engine/routing/event-router.service.ts; apps/server/src/behavior-engine/processors/direct-processor-runtime-gates.spec.ts","Transaction Boundary Engineer","closed_locked_transaction_reuse"
"apps/server/src/behavior-engine/processors/shopping.signal-processor.ts#ShoppingSignalProcessor.process","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","ACTIVE_GATED","active only through EventRouter; processor requires its locked transaction client","Personalization runtime checked in processor; EventRouter additionally requires both canonical switches","all observation and signal-calculator mutations reuse EventRouter's transaction","apps/server/src/behavior-engine/processors/shopping.signal-processor.ts; apps/server/src/behavior-engine/routing/event-router.service.ts; apps/server/src/behavior-engine/processors/direct-processor-runtime-gates.spec.ts","Transaction Boundary Engineer","closed_locked_transaction_reuse"
"apps/server/src/behavior-engine/processors/personalization.signal-processor.ts#PersonalizationSignalProcessor.process","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","ACTIVE_GATED","active only through EventRouter; ingredient lookups and all derived writes use its locked transaction client","Personalization runtime checked in processor; EventRouter additionally requires both canonical switches","observation and ingredient-signal mutations reuse EventRouter's transaction","apps/server/src/behavior-engine/processors/personalization.signal-processor.ts; apps/server/src/behavior-engine/routing/event-router.service.ts; apps/server/src/behavior-engine/processors/direct-processor-runtime-gates.spec.ts","Transaction Boundary Engineer","closed_locked_transaction_reuse"
"apps/server/src/behavior-engine/signals/signal-calculator.service.ts#updateSignal","Runtime OFF blocks direct call; GAP: runtime ON direct call has no per-user epoch and signal rows carry no grant epoch","ACTIVE_GATED","active derived-signal writer","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","shared boundary encloses read-modify-upsert","apps/server/src/behavior-engine/signals/signal-calculator.service.spec.ts; apps/server/src/behavior-engine/signals/signal-calculator.service.ts","Transaction Boundary Engineer","closed_transactional_writer"
"apps/server/src/behavior-engine/signals/signal-calculator.service.ts#applyPositiveFeedback/applyNegativeFeedback","Runtime OFF blocks direct call; GAP: runtime ON direct call has no per-user epoch/final recheck; old signals persist","ACTIVE_GATED","active feedback writers","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","shared boundary encloses recipe read and all signal mutations","apps/server/src/behavior-engine/signals/signal-calculator.service.spec.ts; apps/server/src/behavior-engine/signals/signal-calculator.service.ts","Transaction Boundary Engineer","closed_transactional_writer"
