"title","region","priority","reason"
"مرصع‌پلو / شیرین‌پلو کامل مجلسی","تهران/قزوین/ایران","P2","نسخه‌ای هست، اما باید بررسی شود که مرصع‌پلو مجلسی کامل با خلال‌ها و مرغ/گوشت دارد یا نه."
"ته‌چین اسفناج یا ته‌چین بادمجان","ایران","P3","تنوع مهم ته‌چین برای آرشیو ایرانی."
"آلبالوپلو نسخه مجلسی با کوفته‌ریزه","تهران/شیراز","P2","آلبالوپلو هست، ولی نسخه کوفته‌ریزه معروف می‌تواند جدا باشد."
"مرغ شکم‌پر مازندرانی/گیلانی اصیل","شمال ایران","P1","کاربر قبلاً نبودن/نیامدن آن در سرچ را گزارش کرده؛ باید نسخه شمالی اصیل با گردو/رب انار/سبزی محلی بررسی شود."
"خورش آلو مسما","گیلان/ایران","P2","خورش آلو هست، اما مسمای شمالی معروف باید جدا یا کامل باشد."
"قلیه مرغ شمالی","گیلان/مازندران","P2","برای پوشش غذاهای شمالی شناخته‌شده."
"چکدرمه ترکمنی","گلستان/ترکمن","P1","غذای بسیار شناخته‌شده منطقه‌ای و مناسب آرشیو ملی."
"باقالی قاتوق با پاچ‌باقلا دقیق","گیلان","P1","اگر موجود باشد باید از نظر پاچ‌باقلا/شوید/تخم‌مرغ دقیق کنترل شود."
"واویشکای دقیق گیلانی با دل/جگر یا گوشت","گیلان","P2","واویشکا هست، اما نسخه و مواد باید کنترل اصالت شود."
"دوغ پای کرمانی","کرمان","P1","غذای شاخص کرمان و برای آرشیو ایرانی مهم."
"یتیمچه نیشابوری/تهرانی تفکیک‌شده","خراسان/تهران","P3","یتیمچه هست، ولی نسخه‌های محلی متفاوت‌اند."
"شامی پوک گیلانی","گیلان","P2","غذای معروف شمالی و متفاوت از شامی عمومی."
"کوفته سبزی شیرازی","شیراز","P2","غذای شاخص فارس که در لیست فعلی دیده نمی‌شود."
"کوفته همدانی","همدان","P2","پوشش منطقه‌ای غرب ایران ناقص است."
"آش کشک خراسانی","خراسان","P3","برای تکمیل دسته آش‌های منطقه‌ای."
"دمی گوجه / استانبولی با گوشت قلقلی","تهران/ایران","P3","استانبولی بدون گوشت هست، اما نسخه رایج خانگی با گوشت هم لازم است."
"خورش به‌آلو","اصفهان/ایران","P2","خورشت به هست، اما به‌آلو نسخه مهمی است."
"خورش سیب و آلبالو یا سیب کرمانشاهی","کرمانشاه","P3","خورشت سیب هست، ولی نسخه منطقه‌ای باید روشن شود."
"آش اوماج","آذربایجان/همدان","P2","آش معروف منطقه‌ای و مناسب پوشش ملی."
"دلمه فلفل و گوجه ایرانی","ایران","P2","دلمه برگ مو هست، اما دلمه سبزیجات رایج جداگانه ارزش دارد."
