"recipeId","slug","title","sourceGroup","country","province","city","ingredientCount","stepCount","grisSectionCount","culinaryRisk","worstSeverity","issues","evidence"
"garnish_recipe_fa_1521_13feed66","cheese-omelet","املت پنیر","phase-one-v0.6.1","ایران","","","6","5","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: تخم‌مرغ کامل خام، پنیر موزارلا، روغن آفتابگردان، نمک خوراکی، فلفل سیاه آسیاب‌شده، پاپریکا آسیاب‌شده | کدها: whole_egg_raw, mozzarella_cheese, sunflower_oil, salt_table, black_pepper_ground, paprika_ground"
"garnish_recipe_fa_121_b6f01192","omelet-rob","املت رب","phase-one-v0.6.1","ایران","","","6","6","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: رب گوجه‌فرنگی، تخم‌مرغ کامل خام، روغن آفتابگردان، زردچوبه آسیاب‌شده، نمک خوراکی، فلفل سیاه آسیاب‌شده | کدها: tomato_paste, whole_egg_raw, sunflower_oil, turmeric_ground, salt_table, black_pepper_ground"
"garnish_recipe_fa_126_76675c2f","borani-esfenaj","بورانی اسفناج","phase-one-v0.6.1","ایران","","","6","6","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: اسفناج خام، ماست ساده، سیر خام، روغن زیتون، نعناع خشک، نمک خوراکی | کدها: spinach_raw, plain_yogurt, garlic_raw, olive_oil, dried_mint, salt_table"
"garnish_recipe_fa_127_38980a7f","borani-bademjan","بورانی بادمجان","phase-one-v0.6.1","ایران","","","6","6","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: بادمجان خام، ماست ساده، سیر خام، نعناع خشک، روغن آفتابگردان، نمک خوراکی | کدها: eggplant_raw, plain_yogurt, garlic_raw, dried_mint, sunflower_oil, salt_table"
"garnish_recipe_fa_1496_5705c3de","ranginak","رنگینک","phase-one-v0.6.1","ایران","","","7","5","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (7/7) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: خرمای خشک، گردو خام، آرد گندم سفید، روغن آفتابگردان، دارچین آسیاب‌شده، شکر دانه‌ریز، پسته خام | کدها: date_dried, walnuts_raw, all_purpose_flour, sunflower_oil, cinnamon_ground, caster_sugar, pistachios_raw"
"garnish_recipe_fa_1762_ecb03b4e","potato-salad","سالاد سیب زمینی","phase-one-v0.6.1","ایران","","","11","5","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (11/11) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: سیب‌زمینی خام، پیازچه خام، خیارشور، شوید تازه، ذرت کنسروی، تخم‌مرغ کامل خام، ماست ساده، مایونز، نمک خوراکی، فلفل سیاه آسیاب‌شده | کدها: potato_raw, scallion_raw, cucumber_pickled, dill_fresh, corn_kernels_canned, whole_egg_raw, plain_yogurt, mayonnaise, salt_table, black_pepper_ground"
"garnish_recipe_fa_1751_cd7bc7b8","chicken-salad","سالاد مرغ","phase-one-v0.6.1","ایران","","","15","5","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (15/15) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: سینه مرغ خام، پیاز خام، کاهو خام، خیارشور، هویج خام، کشمش، جعفری تازه، گردو خام، ذرت کنسروی، مایونز | کدها: chicken_breast_raw, onion_raw, lettuce_raw, cucumber_pickled, carrot_raw, raisins, parsley_fresh, walnuts_raw, corn_kernels_canned, mayonnaise"
"garnish_recipe_fa_2018_2572b935","bechamel-sauce","سس بشامل","phase-one-v0.6.1","نامشخص در داده؛ بین‌المللی","","","8","5","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (8/8) | P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست.","مواد: کره بدون نمک، آرد گندم سفید، شیر کامل، سیر خام، پنیر پارمزان، نمک خوراکی، فلفل سفید آسیاب‌شده، جوز هندی آسیاب‌شده | کدها: butter_unsalted, all_purpose_flour, whole_milk, garlic_raw, parmesan_cheese, salt_table, white_pepper_ground, nutmeg_ground"
"garnish_recipe_fa_2032_c2aacc2c","burger-sauce","سس همبرگر","phase-one-v0.6.1","ایران","","","8","5","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (8/8) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: مایونز، ماست ساده، کچاپ، سس خردل، نمک خوراکی، فلفل سیاه آسیاب‌شده، پرک فلفل قرمز، پیاز خام | کدها: mayonnaise, plain_yogurt, ketchup, mustard_prepared, salt_table, black_pepper_ground, red_pepper_flakes, onion_raw"
"garnish_recipe_fa_185_c892351b","samanu","سمنو","phase-one-v0.6.1","ایران","","","2","6","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (2/2) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: جوانه گندم، آرد گندم سفید | کدها: wheat_germ, all_purpose_flour"
"garnish_recipe_fa_1332_682d694b","french-fries","سیب زمینی سرخ کرده","phase-one-v0.6.1","ایران","","","4","5","18","NOT_RULED","P2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (4/4) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد.","مواد: سیب‌زمینی خام، روغن آفتابگردان، نمک خوراکی، پاپریکا آسیاب‌شده | کدها: potato_raw, sunflower_oil, salt_table, paprika_ground"
