"feature_id","intake_group","original_idea","decision","proposed_phase","problem_with_original","improved_version","reason","evidence","reconsideration_criteria","user_problem_strength_1_5","frequency_1_5","household_collaboration_value_1_5","retention_potential_1_5","differentiation_1_5","dutch_market_relevance_1_5","monetization_potential_1_5","technical_complexity_1_5","privacy_risk_1_5","safety_risk_1_5","dependency_risk_1_5","time_to_usable_value_1_5","confidence_1_5","mvp_priority","alternative_if_not_now","human_decision_gate","owner_note"
"A01","Founder A: household collaboration","Private household workspace","IMPLEMENT_IN_FOUNDATION","H1","None if tenancy is server-enforced; a UI-only workspace would be unsafe","Private server-authorized household with explicit membership and field-level privacy","This is the trust and tenancy boundary for every shared capability","S18 shows the risk of full-access/shared-password family design; S24 shows sensitive food/health data scope","Never relax isolation; broaden scopes only after threat model and permission tests","5","5","5","5","4","5","4","5","5","4","3","2","5","P0","Personal mode until a household is created","YES: security/privacy architecture","Must precede shared data"
"A02","Founder A: household collaboration","Two-person or family use","MODIFY","H1","An undefined family model invites child-safety and role sprawl","Launch with 2–12 invited authenticated household members; MANAGED_PROFILE is a later non-authenticated managed principal","One membership model supports couples and families without premature child accounts","S18 documents Cozi up to 12 but with unsafe full access; competitor patterns show multi-person demand","Expand household size or MANAGED_PROFILE support only after observed need and safety review","5","5","5","5","3","5","4","3","4","3","2","3","4","P0","Allow personal workspace before second member joins","YES: child/managed-profile gate","Do not market child social accounts"
"A03","Founder A: household collaboration","Invitations","IMPLEMENT_IN_FOUNDATION","H1","Invite links can be stolen reused or left pending indefinitely","Single-use expiring invite with intended role household binding audit and revoke/resend","Household activation depends on low-friction but secure joining","S02 email matching friction; S10 Apple acceptance/account dependency; S21 Samsung guest view/account-to-edit","Revisit passwordless/deep-link methods after funnel and abuse data","5","4","5","4","2","5","3","4","4","3","3","3","5","P0","In-person QR later; email invite first","YES: token/security design","Test stolen reused expired invite"
"A04","Founder A: household collaboration","Roles and permissions","IMPLEMENT_IN_FOUNDATION","H1","A custom role builder is overengineering; equal access leaks private data","Fixed authenticated household roles OWNER/ADULT/MEMBER/GUEST_SHOPPER with server checks; GUEST_SHOPPER expires and is session/list-scoped; MANAGED_PROFILE is a non-authenticated managed principal; PLAN_VIEWER and PLAN_REVIEWER are scoped share principals rather than household roles","Least privilege enables safe removal scoped shopping plan review and private fields without role sprawl","S18 explicitly documents no restricted access as a negative benchmark; S10 documents participant controls","Add custom roles only when three recurring capability combinations cannot fit the canonical fixed roles and principals","5","4","5","5","4","5","4","5","5","4","3","2","5","P0","Canonical fixed roles and scoped principals","YES: permission matrix","GUEST_SHOPPER is the scored A04 fixed-role refinement not an unscored feature; every endpoint and realtime subscription is checked"
"A05","Founder A: household collaboration","Shared shopping list","KEEP_AS_PROPOSED","H2","Commodity capability is not differentiation","One canonical household list with provenance quantities notes assignee and server authority","Necessary substrate for the exception-resolution loop","S01 S04 S08 S10 S12 S15 S20 document shared-list patterns","No reconsideration; kill broader OS if reliable two-member list cannot be achieved","5","5","5","5","1","5","3","4","3","2","2","4","5","P0","None","NO","Do not pitch list alone as moat"
"A06","Founder A: household collaboration","Realtime updates","MODIFY","H2","Realtime can imply best-effort UI without ordering reconnect or authorization","Authorized ordered events plus snapshot recovery optimistic UI and server-authoritative commit","Two shoppers need convergence not just fast animation","S01 S04 S08 S15 document instant/realtime expectations","Transport may change after load measurements; invariants do not","5","5","5","5","2","5","3","5","4","3","4","2","5","P0","Short polling only if it passes UX and load budget","YES: architecture/security review","Test reconnect duplicate/out-of-order events"
"A07","Founder A: household collaboration","Shopping sessions","MODIFY","H2","A session can drift into presence or location surveillance","Member explicitly starts/ends a time-bounded session with list presence and recovery","Creates useful context for urgent additions and decisions without GPS","S15 documents Shopping Mode; brief principle rejects continuous tracking","Add optional store only after consent and observed value; never infer continuous location","4","4","5","4","4","5","3","4","4","3","3","3","4","P0","Normal shared-list mode remains available","YES: privacy review","No always-on tracking"
"A08","Founder A: household collaboration","Item assignment","MODIFY","H2","Assignment alone can become stale or imply exclusive ownership","Optional assignee plus transient shopper claim/in-cart state and clear release","Separates responsibility from current shopping action","S10 documents first-class assignment; S08 only a generic star workaround","Add multi-assignee only if repeated real cases justify it","4","4","5","4","3","5","3","4","2","2","2","4","4","P0","Unassigned items visible to all shoppers","NO","Keep user-facing states simple"
"A09","Founder A: household collaboration","Purchase completion","MODIFY","H2","A checkbox can falsely imply confirmed canonical state or permanently erase an item","Acknowledged BOUGHT event with undo and retained provenance","Completion is core but must survive retry and concurrency","S08 S10 S21 document check-off/completion as baseline","Add receipt verification only after OCR validation; do not gate completion on it","5","5","5","5","1","5","2","4","2","2","2","5","5","P0","Local queued completion while offline","NO","Server ack for irreversible downstream effects"
"A10","Founder A: household collaboration","Item notes","KEEP_AS_PROPOSED","H2","Free text can accidentally hold sensitive data","Short item note with respectful copy and household visibility label","Brand size and preference detail prevents wrong purchase","S02 S04 S08 S11 document notes/details","Add structured attributes only when note analysis shows repeated patterns and privacy permits","4","5","4","3","1","5","2","2","2","1","1","5","5","P0","Quantity brand and allowed-alternative fields where structured","NO","Do not index private notes for AI by default"
