evidence_id,route,required_width,request_applied,requested_width,window_inner_width,document_client_width,visual_viewport_width,document_scroll_width,horizontal_overflow,device_pixel_ratio,controls_reachable,consent_or_logout_clipped,hidden_error_state,screenshot_filename,status,blocker
VIEWPORT_LOGIN_360,login,360,true,360,360,360,360,360,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-login.png,PASS,
VIEWPORT_LOGIN_390,login,390,true,390,390,390,390,390,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-login.png,PASS,
VIEWPORT_LOGIN_430,login,430,true,430,430,430,430,430,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-login.png,PASS,
VIEWPORT_LOGIN_480,login,480,true,480,480,480,480,480,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-login.png,PASS,
VIEWPORT_PROFILE_360,profile,360,true,360,360,345,345,345,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-profile.png,PASS,
VIEWPORT_PROFILE_390,profile,390,true,390,390,375,375,375,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-profile.png,PASS,
VIEWPORT_PROFILE_430,profile,430,true,430,430,415,415,415,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-profile.png,PASS,
VIEWPORT_PROFILE_480,profile,480,true,480,480,465,465,465,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-profile.png,PASS,
VIEWPORT_SETTINGS_360,settings,360,true,360,360,345,345,345,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-settings.png,PASS,
VIEWPORT_SETTINGS_390,settings,390,true,390,390,375,375,375,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-settings.png,PASS,
VIEWPORT_SETTINGS_430,settings,430,true,430,430,415,415,415,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-settings.png,PASS,
VIEWPORT_SETTINGS_480,settings,480,true,480,480,465,465,465,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-settings.png,PASS,
VIEWPORT_FAVORITES_360,favorites,360,true,360,360,360,360,360,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-favorites.png,PASS,
VIEWPORT_FAVORITES_390,favorites,390,true,390,390,390,390,390,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-favorites.png,PASS,
VIEWPORT_FAVORITES_430,favorites,430,true,430,430,430,430,430,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-favorites.png,PASS,
VIEWPORT_FAVORITES_480,favorites,480,true,480,480,480,480,480,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-favorites.png,PASS,
VIEWPORT_SHOPPING_360,shopping-list,360,true,360,360,360,360,360,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-shopping-list.png,PASS,
VIEWPORT_SHOPPING_390,shopping-list,390,true,390,390,390,390,390,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-shopping-list.png,PASS,
VIEWPORT_SHOPPING_430,shopping-list,430,true,430,430,430,430,430,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-shopping-list.png,PASS,
VIEWPORT_SHOPPING_480,shopping-list,480,true,480,480,480,480,480,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-shopping-list.png,PASS,
VIEWPORT_CONSENT_360,consent-withdrawal-state,360,true,360,360,345,345,345,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-consent-withdrawal-state.png,PASS,
VIEWPORT_CONSENT_390,consent-withdrawal-state,390,true,390,390,375,375,375,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-consent-withdrawal-state.png,PASS,
VIEWPORT_CONSENT_430,consent-withdrawal-state,430,true,430,430,415,415,415,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-consent-withdrawal-state.png,PASS,
VIEWPORT_CONSENT_480,consent-withdrawal-state,480,true,480,480,465,465,465,false,1,true,false,false,docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-consent-withdrawal-state.png,PASS,
