"recipeId","slug","titleFa","auditStatus","finalStatus","sourceCount","caveat"
"garnish_recipe_fa_95_0962d2a9","abgoosht-ghanbid","آبگوشت قنبید","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_94_78034c8a","abgoosht-kashk","آبگوشت کشک","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_fa_148_554e136f","ash-e-anar","آش انار","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_147_3b1b07c5","ash-e-jo","آش جو","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_79_792d1196","ash-dandooni","آش دندونی","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_1235_f91ccc6d","ash-doogh","آش دوغ","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_1208_434b3a9a","ash-reshteh","آش رشته","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_fa_77_3adf94d4","ash-sabzi-shirazi","آش سبزی شیرازی","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_870_d37ad654","albaloo-polo-ba-morgh","آلبالو پلو با مرغ یا گوشت","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_intl_095_c9024579","avgolemono","آوگولمونو","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_intl_112_cb59927d","eton-mess","اتن مس","AUTH_PASS_LOW_RISK","LOW_RISK_SIMPLE_RULED","0",""
"garnish_recipe_intl_028_ecdcc65f","stamppot","استامپوت (پوره سیب‌زمینی و کلم ترش)","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_fa_868_c97331a5","estamboli-polo","استانبولی پلو بدون گوشت","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_intl_123_e8fa3267","spaghetti-al-limone","اسپاگتی آل لیمونه","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_intl_062_ce31c267","spaghetti-aglio-e-olio","اسپاگتی سیر و روغن","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_intl_069_b980b37b","apple-strudel","اشترودل سیب","AUTH_PASS_LOW_RISK","LOW_RISK_SIMPLE_RULED","0",""
"garnish_recipe_fa_1334_8963bd85","meat-strudel","اشترودل گوشت","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_fa_1072_b55bdfe7","eshkeneh","اشکنه","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_intl_012_46d4828e","imam-bayildi","امام بایلدی","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_fa_121_b6f01192","omelet-rob","املت رب","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_fa_113_2a1debd0","anar-polo-shirazi","انارپلو شیرازی","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_intl_033_8acac046","eggplant-parmigiana","بادمجان پارمیجانا","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_fa_862_dbf3d4d5","baghali-polo-ba-goosht","باقالی پلو با گوشت","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_1224_c65df148","baghali-ghatogh","باقلاقاتُق","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_intl_078_c3975f3a","baklava","باقلوا","AUTH_PASS_LOW_RISK","LOW_RISK_SIMPLE_RULED","0",""
"garnish_recipe_fa_90_85d9aaf0","beryani-isfahan","بریانی اصفهان","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_fa_96_730b7817","boz-ghormeh-kermani","بزقرمه کرمانی","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_intl_066_d22397d4","borscht","بورش","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_intl_124_ee006e03","bistecca-alla-fiorentina","بیستکا آلا فیورنتینا","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_intl_065_d91803a7","beef-stroganoff","بیف استروگانف","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_intl_140_e00e3df2","tarta-de-santiago","تارتا د سانتیاگو","AUTH_PASS_LOW_RISK","LOW_RISK_SIMPLE_RULED","0",""
"garnish_recipe_fa_1276_cdef73d2","tas-kabab","تاس‌کباب","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_intl_009_ab044ed1","tabbouleh","تبوله","AUTH_PASS_LOW_RISK","LOW_RISK_SIMPLE_RULED","0",""
"garnish_recipe_fa_1084_8f35205e","tahchin-morgh","ته چین مرغ","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_fa_115_ba80ef7c","tahandaz-morgh","ته‌انداز مرغ","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_fa_164_8367ec24","tahchin-goosht-bademjan","ته‌چین گوشت و بادمجان","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_intl_111_248a08a4","toad-in-the-hole","تود این د هول","AUTH_PASS_LOW_RISK","LOW_RISK_SIMPLE_RULED","0",""
"garnish_recipe_intl_022_ac4d3143","tortilla-espanola","تورتیای اسپانیایی","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_intl_031_7e902faf","tiramisu","تیرامیسو","AUTH_PASS_SOURCE_BACKED","RULED_SOURCE_BACKED_PASS","3",""
"garnish_recipe_fa_216_1bfdfe55","saffron-joojeh-kabab","جوجه کباب زعفرانی","NEEDS_EXTERNAL_RESEARCH","NEEDS_EXTERNAL_RESEARCH","0","Needs three independent reputable culinary sources before source-backed pass or patch."
"garnish_recipe_fa_1290_f5fc285f","halim-bademjan","حلیم بادمجان","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_fa_1238_296fbec3","halim-gandom","حلیم گندم","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
"garnish_recipe_fa_2014_249aa268","italian-pizza-dough","خمیر پیتزا ایتالیایی","AUTH_PASS_LOW_RISK","LOW_RISK_SIMPLE_RULED","0",""
"garnish_recipe_fa_1343_5bf8151c","chicken-and-mushroom","خوراک مرغ و قارچ","NEEDS_HUMAN_DECISION","NEEDS_HUMAN_DECISION","0","Needs culinary/product decision; no safe automated patch."
