"source_id","product","official_source_type","title","url","accessed_at","confidence","claims_used","caveat"
"S01","Bring!","official product page","Features","https://www.getbring.com/en/features","2026-07-13","HIGH","shared lists; realtime changes; item details/photos; recipe import; recipe-to-list","Marketing page; absence of a feature is not evidence of absence."
"S02","Bring!","official help center","Items & Lists","https://www.getbring.com/help-center-main-categories/items-lists","2026-07-13","HIGH","invite by account email; remove participant; quantities; descriptions; photos; list link/send mechanics","Help page does not document role tiers or unavailable/substitution states."
"S03","Bring!","official privacy policy","Privacy Policy","https://www.getbring.com/en/privacy-policy","2026-07-13","HIGH","account/list data; advertising and analytics; push provider; US-hosted processing disclosure","Policy describes processing rather than product UX."
"S04","AnyList","official product page","Create and Share Lists","https://www.anylist.com/lists","2026-07-13","HIGH","instant shared-list changes; optional push; notes; quantities; photos; list-level privacy","No structured unavailable/substitution workflow documented."
"S05","AnyList","official product page","Plan Your Meals","https://www.anylist.com/meal-planning","2026-07-13","HIGH","shared meal calendar; recipe-to-shopping-list generation; email/print plan","Email/print is export rather than scoped advisor collaboration."
"S06","AnyList","official pricing/product page","AnyList Features At A Glance","https://www.anylist.com/features","2026-07-13","HIGH","free shared lists; household plan price; premium photos; scaling; import; meal planning","USD list price may differ by store or jurisdiction."
"S07","AnyList","official privacy policy","AnyList Privacy Policy","https://www.anylist.com/privacy","2026-07-13","HIGH","optional location reminder; account and usage data; deletion; no marketing sharing of PII","Policy last revised 2021; current page was checked but revision is old."
"S08","OurGroceries","official user guide","OurGroceries User Guide","https://www.ourgroceries.com/user-guide","2026-07-13","HIGH","instant household sync; same-account model; notes/photos; completion; revocable single-list link; pricing; connectivity behavior","Shared-account design lacks per-member identity/roles and is unsuitable as Garnish's tenancy model."
"S09","OurGroceries","official privacy policy","OurGroceries Privacy Policy","https://www.ourgroceries.com/privacy","2026-07-13","HIGH","list/account data; US storage; advertising disclosures; deletion rights","Policy claims should be read with jurisdiction-specific rights."
"S10","Apple Reminders","official support","Share lists and collaborate in Reminders on iPhone","https://support.apple.com/guide/iphone/share-and-collaborate-iph2a8f9121e/ios","2026-07-13","HIGH","iCloud invite; edit/complete; assignment; invite delegation control; add/complete notifications","Requires Apple Account and iCloud Reminders; not a cross-platform household product."
"S11","Apple Reminders","official support","Make a grocery list in Reminders on iPhone","https://support.apple.com/en-mide/guide/iphone/iph80ba26e1f/ios","2026-07-13","HIGH","grocery categorization; notes; photo attachments","Region URL used because it exposed the current guide content; behavior may vary by OS/account."
"S12","Google Keep","official help center","Share notes lists & drawings","https://support.google.com/keep/answer/6101196?co=GENIE.Platform%3DDesktop&hl=en","2026-07-13","HIGH","collaborative editing of lists/images/audio; collaborator removal; per-user labels/reminders","Official page does not promise realtime latency or item assignment."
"S13","Google Keep","official help center","Share a Keep note with your family group","https://support.google.com/keep/answer/7313121?co=GENIE.Platform%3DDesktop&hl=en","2026-07-13","HIGH","family-group sharing; any family member can edit/delete","No roles or restricted household views documented."
"S14","Google Keep","official help center","Change list & sharing settings","https://support.google.com/keep/answer/6358550?co=GENIE.Platform%3DDesktop&hl=en","2026-07-13","HIGH","sharing opt-out; checked-item list behavior","Does not establish offline conflict behavior."
"S15","Cozi","official product page","Cozi Shopping Lists","https://www.cozi.com/shopping-lists/","2026-07-13","HIGH","family-shared list; instant sync; offline edits/sync; recipe ingredients to list; external send","No item assignment or structured substitution workflow documented."
"S16","Cozi","official product page","Cozi Meal Planner & Recipe Box","https://www.cozi.com/meals-and-recipe-box/","2026-07-13","HIGH","shared weekly meal visibility; recipe URL/manual save; meal-to-list workflow","Calendar-centered coordination is broader than Garnish's food core loop."
"S17","Cozi","official pricing page","Compare Plans: Free Gold & Max","https://www.cozi.com/compare-plans/","2026-07-13","HIGH","free family tier; Gold and Max annual prices; family-wide subscription; shopping mode","USD pricing may differ by app store or geography."
"S18","Cozi","official FAQ","Cozi Family Organizer App FAQs","https://www.cozi.com/faq/","2026-07-13","HIGH","up to 12 family members; shared password; full data access; no restricted roles","The shared-password/full-access model is a negative benchmark for privacy and auditability."
"S19","Cozi","official privacy policy","Privacy Policy","https://www.cozi.com/privacy-policy/","2026-07-13","HIGH","account/invite data; GDPR disclosures; children/registration constraints","Policy updated June 2026."
"S20","Samsung Food","official help center","Sharing & Collaboration on Samsung Food","https://support.samsungfood.com/hc/en-us/articles/18689681101716-Sharing-Collaboration-on-Samsung-Food","2026-07-13","HIGH","shared recipes; shopping lists; collaborative meal plan; account requirement","Private community is not equivalent to a private household tenancy boundary."
"S21","Samsung Food","official help center","Create and Manage Shopping Lists","https://support.samsungfood.com/hc/en-us/articles/18369342052372-Getting-Started-with-Samsung-Food-Create-and-Manage-Shopping-Lists","2026-07-13","HIGH","invite collaborators; guest view; account required to edit; recipe/list linkage; completion","No structured unavailable/substitution decision flow documented."
"S22","Samsung Food","official help center","Getting Started with Meal Planner","https://support.samsungfood.com/hc/en-us/articles/35369657798548-Getting-Started-with-Meal-Planner","2026-07-13","HIGH","shared plan; plan-to-list; meal history; collaboration replaces personal plan","Replacement of personal plan is an important migration/expectation risk."
"S23","Samsung Food","official pricing/product page","Samsung Food+","https://samsungfood.com/food-plus/","2026-07-13","HIGH","7-day trial; monthly/annual pricing; automated food list; nutrition/personalization","USD headline pricing explicitly may differ by country."
"S24","Samsung Food","official privacy policy","Samsung Food Privacy","https://samsungfood.com/policy/privacy/apps/","2026-07-13","HIGH","food preferences; health; grocery; contacts; location; behavioral data; consent and rights","Broad sensitive-data footprint reinforces field-level privacy requirements."
"S25","SideChef","official Google Play listing","SideChef: Recipes & Meal Plans","https://play.google.com/store/apps/details?hl=en-US&id=com.sidechef.sidechef","2026-07-13","MEDIUM","step-by-step media; ratings/photos; ingredient-at-home search; meal planning; timers; grocery commerce; subscription","Official store listing is developer-supplied but less precise than a current help center; voice guidance and receipt scan were not verified."
"S26","Kitchen Stories","official product page","Recipe Importer","https://pages.kitchenstories.com/en/recipe-importer","2026-07-13","HIGH","Instagram/TikTok/web/screenshot/handwritten import; structured extraction; edit; shopping list; current subscription price","Importer currently states iOS availability; imported-content rights and accuracy still require product controls."
"S27","Kitchen Stories","official recipe page","Spaghetti Bolognese","https://www.kitchenstories.com/en/recipes/simple-spaghetti-bolognese","2026-07-13","HIGH","nutrition per serving; serving scaling; step media/ingredients; shopping list","A representative current recipe proves presentation capability but not universal completeness."
"S28","Kitchen Stories","official product article","Upload Your Own Recipes","https://www.kitchenstories.com/en/stories/new-on-kitchen-stories-upload-your-own-recipes","2026-07-13","MEDIUM","manual recipe entry; drafts private before submission; per-step ingredients/media","Article is from 2019; use only for documented workflow pattern, not current entitlement/pricing."
"S29","NoWaste","official Google Play listing","NoWaste: Food Inventory Lists","https://play.google.com/store/apps/details?hl=en-US&id=com.khcreations.nowaste","2026-07-13","MEDIUM","pantry/freezer/fridge; expiry; barcode; multi-device sync; meal plan; photo recognition; data-safety disclosure","Listing does not establish separate-member collaboration, roles, or realtime semantics."
"S30","NoWaste","official App Store listing","NoWaste: Food Inventory List","https://apps.apple.com/ca/app/nowaste-food-inventory-list/id926211004","2026-07-13","MEDIUM","receipt/photo/barcode capture; inventory; shopping; meal plan; in-app purchases","Store price and features can vary by country/platform; no household role model verified."
"S31","Mealime","official support","How to share recipes grocery list meal plans Mealime","https://support.mealime.com/article/101-how-to-share-recipes-grocery-list-meal-plans-mealime","2026-07-13","MEDIUM","no grocery-list share feature; same-account workaround; PDF/email export","Page last updated 2019; still present in current official support and no newer contrary official page was found."
"S32","Mealime","official App Store listing","Mealime Meal Plans & Recipes","https://apps.apple.com/us/app/mealime-meal-plans-recipes/id1079999103","2026-07-13","MEDIUM","personalized meal plan; automatic grocery list; step instructions; nutrition; web/manual import; current US listing price","Store listing includes marketing claims and user reviews; only developer description/pricing was used."
"S33","Mealime","official support","Viewing recipe nutritional information","https://support.mealime.com/article/89-viewing-recipe-nutritional-information","2026-07-13","MEDIUM","nutrition is a Pro feature","Page last updated 2019; entitlement may change and should be rechecked before commercial benchmarking."
