path,classification,owner,finding,change_reason,git_state,validation_status,scope_basis,validation_evidence
apps/server/src/consent/optional-processing-transaction-boundary.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Canonical per-user transaction and User-row lock,untracked,implemented,05_diff_scope_matrix.csv,unit plus real PostgreSQL interleavings
apps/server/src/consent/optional-processing-transaction-boundary.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Boundary retry runtime policy and rollback contract,untracked,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/consent/optional-processing-transaction-boundary.integration.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Required non-mock lock interleavings,untracked,tested,05_diff_scope_matrix.csv,dedicated disposable PostgreSQL
apps/server/src/consent/consent.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Consent reads and mutations must share the boundary,tracked_modified,implemented,05_diff_scope_matrix.csv,consent and interleaving tests
apps/server/src/consent/consent.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Consent transaction contract,tracked_modified,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/users/users.service.ts,CORE_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Grant and withdrawal mutation entrypoint,tracked_modified,implemented,05_diff_scope_matrix.csv,users-consent and onboarding tests
apps/server/src/users/users-consent.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Grant withdrawal and policy behavior,untracked,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/users/users-onboarding.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Onboarding consent transaction compatibility,untracked,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/analytics/analytics.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Primary optional UserEvent writer,tracked_modified,implemented,05_diff_scope_matrix.csv,analytics consent and DB race tests
apps/server/src/analytics/analytics.consent-gate.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,No compensation safety invariant,tracked_modified,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/analytics/event-enrichment.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Optional derived event mutation,tracked_modified,implemented,05_diff_scope_matrix.csv,enrichment focused tests
apps/server/src/analytics/event-enrichment.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Derived mutation gate,untracked,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/behavior-engine/routing/event-outbox.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Optional outbox enqueue and processing,tracked_modified,implemented,05_diff_scope_matrix.csv,outbox and integration tests
apps/server/src/behavior-engine/routing/event-outbox.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Outbox dual-purpose epoch contract,tracked_modified,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/recommendation/exposure/exposure-tracking.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Exposure optional writer,tracked_modified,implemented,05_diff_scope_matrix.csv,exposure and DB race tests
apps/server/src/recommendation/exposure/exposure-tracking.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Exposure transaction contract,tracked_modified,tested,05_diff_scope_matrix.csv,focused Jest
