"recipeId","slug","titleFa","finalState","isPublic","recipeStatus","reason"
"garnish_recipe_fa_95_0962d2a9","abgoosht-ghanbid","آبگوشت قنبید","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_148_554e136f","ash-e-anar","آش انار","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_147_3b1b07c5","ash-e-jo","آش جو","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_79_792d1196","ash-dandooni","آش دندونی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1235_f91ccc6d","ash-doogh","آش دوغ","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_77_3adf94d4","ash-sabzi-shirazi","آش سبزی شیرازی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_870_d37ad654","albaloo-polo-ba-morgh","آلبالو پلو با مرغ یا گوشت","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_868_c97331a5","estamboli-polo","استانبولی پلو بدون گوشت","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_113_2a1debd0","anar-polo-shirazi","انارپلو شیرازی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_862_dbf3d4d5","baghali-polo-ba-goosht","باقالی پلو با گوشت","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_96_730b7817","boz-ghormeh-kermani","بزقرمه کرمانی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1276_cdef73d2","tas-kabab","تاس‌کباب","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_216_1bfdfe55","saffron-joojeh-kabab","جوجه کباب زعفرانی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_101_877a41d3","khoresh-aloo","خورش آلو","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_intl_098_0fbf4374","irish-stew","خورش ایرلندی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_190_49162ac2","khoresh-morgh-qeysi","خورش مرغ قیسی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1251_3f83f105","khoresh-bademjan","خورشت بادمجان","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_99_14f1018b","khoresh-rivas","خورشت ریواس","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_98_601bddc6","khoresh-havij-tabrizi","خورشت هویج تبریزی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1261_99e02971","dampokhtak-mash-polo","دمپختک (ماش‌پلو تهرانی)","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1280_13a22528","reshteh-polo-shirazi","رشته‌پلو شیرازی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1272_b3180a59","zireh-polo-kermani","زیره‌پلو کرمانی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1767_4e6ed616","shami-kabab-lorestan","شامی کباب لرستانی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_154_cdfcadf7","sholeh-mashhadi","شله مشهدی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1250_cb9a971c","shirin-polo","شیرین‌پلو (مرصع‌پلو)","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_864_37673192","adas-polo-ba-goosht","عدس‌پلو با گوشت","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_129_5d8a7866","ghanbar-polo-shirazi","قنبرپلو شیرازی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1239_1be04a64","gheymeh-nesar","قیمه نثار","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_866_9986ddf5","loobia-polo-ba-goosht","لوبیا پلو با گوشت چرخ‌کرده","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1296_5d4fca2c","morgh-torsh-gilani","مرغ ترش گیلانی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_86_ffcd0713","kabab-bonab","کباب بناب","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1197_73204fa8","kabab-tabei-morgh","کباب تابه‌ای مرغ","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_1196_6cbbd3af","kabab-tabei-goosht","کباب تابه‌ای گوشت","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_112_9764d4aa","kadoo-polo-mazandarani","کدو پلو مازندرانی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_139_012333bd","kufteh-berenji","کوفته برنجی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_intl_038_16764713","swedish-meatballs","کوفته سوئدی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_intl_077_40b61937","kofte","کوفتهٔ ترکی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","This automated pass did not establish three independent reputable culinary references. Per hard rule, no source-backed pass or patch is claimed."
"garnish_recipe_fa_94_78034c8a","abgoosht-kashk","آبگوشت کشک","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_intl_095_c9024579","avgolemono","آوگولمونو","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_intl_028_ecdcc65f","stamppot","استامپوت (پوره سیب‌زمینی و کلم ترش)","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_intl_123_e8fa3267","spaghetti-al-limone","اسپاگتی آل لیمونه","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_intl_062_ce31c267","spaghetti-aglio-e-olio","اسپاگتی سیر و روغن","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_fa_1334_8963bd85","meat-strudel","اشترودل گوشت","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_fa_1072_b55bdfe7","eshkeneh","اشکنه","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_intl_012_46d4828e","imam-bayildi","امام بایلدی","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_fa_121_b6f01192","omelet-rob","املت رب","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_intl_066_d22397d4","borscht","بورش","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_fa_115_ba80ef7c","tahandaz-morgh","ته‌انداز مرغ","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_fa_164_8367ec24","tahchin-goosht-bademjan","ته‌چین گوشت و بادمجان","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_fa_1290_f5fc285f","halim-bademjan","حلیم بادمجان","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
"garnish_recipe_fa_1238_296fbec3","halim-gandom","حلیم گندم","NEEDS_MANUAL_EXTERNAL_REVIEW_REMAINING","true","active","Medium: not proven wrong, but not defensible as fully authentic."
