scenario_id,scenario_name,status,evidence_present,evidence_id,evidence_type,file_path,sha256,captured_at,contains_sensitive_data,notes
"SCENARIO_01","Account A authenticated state","PASS","true","S01-V33-HOME","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/scenario01_v33_account_a_home.png","7e516832c75b99f46f33836f864b1f1a926a1a45561ab6b0f2322ddbd846f895","2026-07-13T18:43:48.7560483+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_01; Current v3.3 Account A home evidence; public recipe overlap is not private ownership"
"SCENARIO_01","Account A authenticated state","PASS","true","S01-V33-PROFILE","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/scenario01_v33_account_a_profile.png","d1dfddcf666cc2539e7a0738128fc29fc0c59c3177c3482ad326711da7e6834f","2026-07-13T18:44:07.6435491+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_01; Current v3.3 Account A profile evidence"
"SCENARIO_01","Account A authenticated state","PASS","true","S01-V33-SETTINGS","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/scenario01_v33_account_a_settings.png","6c1e273192d7c1f12c955bac770225efdbff9be1ab7c569e410c3f86fb037bad","2026-07-13T18:45:14.2870379+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_01; Current v3.3 Account A selected settings evidence"
"SCENARIO_01","Account A authenticated state","PASS","true","S01-V33-FAVORITES","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/scenario01_v33_account_a_favorites.jpg","acdc76b6b62270aac2e58e3fe8e4d7febbd4eaf2d6689f199824fd8900952906","2026-07-13T18:46:53.9965730+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_01; Current v3.3 Account A private favorite relationship evidence"
"SCENARIO_01","Account A authenticated state","PASS","true","S01-V33-PLAN","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/scenario01_v33_account_a_plan.jpg","7f7428464503fa5fc82ffa9872ca9fe9d7041b1de6d786212cf6d0a61eb0ca4e","2026-07-13T18:47:39.5435003+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_01; Current v3.3 Account A private plan membership evidence"
"SCENARIO_01","Account A authenticated state","PASS","true","V33-RUNTIME-CHECKS-S01","REDACTED_RUNTIME_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/runtime_checks_v33.json","294823e9d1f3d243016316095ebfc05a4f5795f8b132089ce09334135476854c","2026-07-13T19:24:46.8443502+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_01; Six route checks; original false positive preserved only in report history"
"SCENARIO_02","Account B fixture verification","PASS","true","S02-V33-HOME","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/scenario02_v33_account_b_home.jpg","c31e70505eb8748b992cdab03a4523261da821aee642a4f58a5e8ac87d2d00de","2026-07-13T18:56:47.9338908+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_02; Current v3.3 Account B home evidence"
"SCENARIO_02","Account B fixture verification","PASS","true","V33-RUNTIME-CHECKS-S02","REDACTED_RUNTIME_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/runtime_checks_v33.json","294823e9d1f3d243016316095ebfc05a4f5795f8b132089ce09334135476854c","2026-07-13T19:24:46.8443502+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_02; Six route ownership-aware checks"
"SCENARIO_03","Two-tab Account A","PASS","true","V33-RUNTIME-CHECKS-S03","REDACTED_RUNTIME_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/runtime_checks_v33.json","294823e9d1f3d243016316095ebfc05a4f5795f8b132089ce09334135476854c","2026-07-13T19:24:46.8443502+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_03; Two controlled tabs and masked same-session scope"
"SCENARIO_04","Cross-tab logout","PASS","true","V33-RUNTIME-CHECKS-S04","REDACTED_RUNTIME_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/runtime_checks_v33.json","294823e9d1f3d243016316095ebfc05a4f5795f8b132089ce09334135476854c","2026-07-13T19:24:46.8443502+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_04; Zero private queries and DOM after logout; one public catalogue query allowed"
