scope_id,data_examples,data_subject,system_of_record,household_default_visibility,OWNER,ADULT,MEMBER,GUEST_SHOPPER,MANAGED_PROFILE_DIRECT,VIEW_SHARE_DEFAULT,REVIEW_SHARE_DEFAULT,external_share_option,grant_or_revoke_authority,default_processing,proposed_retention_not_legal_advice,required_controls
HOUSEHOLD_IDENTITY,"household name; timezone; status","household members","Household","active members","ALLOW","ALLOW","ALLOW","MINIMUM_WHILE_ASSIGNED","NONE","OFF","OFF","MEAL_CONTEXT_ONLY","owner for household settings; share creator for external scope","required for core household operation","until household deletion completes","tenant-scoped query; no public profile; noindex external route"
MEMBER_DISPLAY_PROFILE,"display name; avatar; coordination role","individual member or managed profile","HouseholdMemberProfile","active members","ALLOW","ALLOW","ALLOW","SESSION_PARTICIPANTS_ONLY","NONE","OFF","OFF","REVIEWER_LABEL_OPTIONAL","linked user for self; managed-profile manager; owner only for role not private fields","required for attribution and coordination","membership/profile life then pseudonymize after erasure under approved policy","no contact details; safe display label in events; removed member denied"
MEMBER_CONTACT,"email; phone; invite destination","individual user","User and HouseholdInvite target digest","not shared","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","NONE","OFF","OFF","FORBIDDEN","data subject; inviter can revoke invite but cannot read full contact after dispatch","authentication or identity-bound invite only","existing account policy; invite target plaintext avoided or deleted after dispatch; digest terminal plus proposed 30 days","never activity/notification body; mask admin support; encrypt if delivery requires plaintext"
MEMBERSHIP_SECURITY,"membership status; role; expiry; removal reason","individual member and household","HouseholdMembership","role/status visible; security details restricted","ALLOW_FULL","ROLE_ONLY","ROLE_ONLY","SELF_MINIMUM","NONE","OFF","OFF","FORBIDDEN","owner for role/removal; member for own leave","required for authorization","active life; ended row pseudonymized and retained only as needed for household attribution/security policy","owner-only mutations; audit; no reason in broad activity feed"
SHOPPING_ITEM_CORE,"item name; quantity; unit; status; category; source meal","household","HouseholdShoppingItem","active members","ALLOW","ALLOW","ALLOW","ASSIGNED_LIST_ONLY","NONE","OFF","OFF","FORBIDDEN_IN_PLAN_SHARE","members with shopping capability","required for shared shopping","until item/user deletion or household deletion; archived-history duration requires product choice","tenant scope; version CAS; semantic uniqueness; minimal realtime payload"
SHOPPING_ITEM_NOTE,"free-form item note; brand preference; max price","household author and members","HouseholdShoppingItem","active members","ALLOW","ALLOW","ALLOW","ASSIGNED_LIST_ONLY","NONE","OFF","OFF","FORBIDDEN","members with shopping write; author or capable member edits by policy","core only when user enters it","until item deletion; avoid copying to long-lived activity","length limit; escape output; no health/private notes; excluded from push/logs"
SHOPPING_ASSIGNMENT,"requested-by profile; assigned shopper; claim state","household participants","HouseholdShoppingItem","active members","ALLOW","ALLOW","ALLOW","ASSIGNED_LIST_SELF_ONLY","NONE","OFF","OFF","FORBIDDEN","members with assignment capability; guest self-claim only","required for coordination","item/session life plus bounded activity projection","relationship-derived recipients; removed member unassigned; no contact details"
SHOPPING_DECISION,"unavailable reason; substitution question; options; selection","household participants","ShoppingDecisionRequest and Option","active members and assigned guest","ALLOW","ALLOW","ALLOW","ASSIGNED_SESSION_ONLY","NONE","OFF","OFF","FORBIDDEN","members with shopping decision capability","required when user opens decision","proposed 90 days after resolution then aggregate/redact or delete; validate product need","status/expiry CAS; contextual only; no generic chat; notification copy minimization"
SHOPPING_ALTERNATIVE_PHOTO,"photo of product alternative; stripped image metadata","uploader; may contain bystanders/location text","ShoppingAttachment plus private object storage","authorized item/decision participants","ALLOW","ALLOW","ALLOW","ASSIGNED_SESSION_ONLY","NONE","OFF","OFF","FORBIDDEN","uploader/capable member may delete; household deletion revokes","default off until explicit upload; no automatic camera access","delete on user action or proposed 30 days after decision closes; shorter if feasible","private ACL; quarantine; malware scan; MIME/signature/decode/re-encode; strip EXIF/GPS; short signed URL"
SHOPPING_ACTIVITY,"who changed item/status; safe delta; timestamp","household participants","HouseholdActivityEvent","filtered active members","ALLOW_FULL","ALLOW_HOUSEHOLD","ALLOW_HOUSEHOLD","ASSIGNED_SESSION_ONLY","NONE","OFF","OFF","FORBIDDEN","system records; owner controls household deletion not selective history rewrite","required for explainability and sync","proposed 90 days user-facing; security subset separately governed","allowlisted payload; no notes/photos/tokens/raw sensitive data; pseudonymize erased actor"
