recipeId,titleFa,sourceGroup,cuisineOrigin,classification,score,repairPriority,confidence,failedSections,blockers,reason
garnish_recipe_fa_101_877a41d3,خورش آلو,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,96,,HIGH,faq,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_103_066b318c,واویشکا,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,94,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_104_7b4ced78,گمج کباب,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,96,,HIGH,faq,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1051_68dd60e0,خورشت کرفس,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1052_8bde566e,خورشت آلو اسفناج,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1053_29566b67,خورشت بامیه,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,94,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1071_6e0696a6,کتلت گوشت,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1072_b55bdfe7,اشکنه,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1084_8f35205e,ته چین مرغ,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_110_847e93ad,خورشت سیب,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_112_9764d4aa,کدو پلو مازندرانی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1195_4b547f19,ماکارونی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,96,,HIGH,faq,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1197_73204fa8,کباب تابه‌ای مرغ,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_119_2a846a21,آش شولی یزدی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,93,,HIGH,faq,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1207_5b8c823a,شیشلیک (کباب دنده),Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1208_434b3a9a,آش رشته,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,93,,HIGH,faq,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1209_7bd0ff68,کباب بختیاری,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1215_673014ad,کباب چنجه,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1220_6429319c,سبزی پلو با ماهی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,94,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1224_c65df148,باقلاقاتُق,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,90,,MEDIUM,skills,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1225_159208a2,میرزا قاسمی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,93,,HIGH,faq,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1235_f91ccc6d,آش دوغ,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1237_3dff9aba,آش شله قلمکار,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1238_296fbec3,حلیم گندم,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,96,,HIGH,faq,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1239_1be04a64,قیمه نثار,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,94,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1251_3f83f105,خورشت بادمجان,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,94,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1252_3d200c70,کلم‌پلو شیرازی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,94,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1261_99e02971,دمپختک (ماش‌پلو تهرانی),Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,96,,HIGH,faq,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1262_9f42258a,ترش‌شامی گیلانی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1263_0e8a8255,کاله‌جوش (کله‌جوش),Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1276_cdef73d2,تاس‌کباب,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,94,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1279_e3e99c0f,میگو پلو,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,94,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1280_13a22528,رشته‌پلو شیرازی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1290_f5fc285f,حلیم بادمجان,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1291_b4dad1f1,بریان ماهی (ماهی شکم‌پر),Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_129_5d8a7866,قنبرپلو شیرازی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1306_a212d523,قلیه ماهی سیرافی,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,93,,HIGH,skills,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1307_4401749e,قلیه میگو,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,93,,HIGH,skills,,"All major GRIS sections present, dish-specific, no blockers."
garnish_recipe_fa_1314_7f39d182,خورشت ماست,Phase One,Iranian,COMPLETE_DO_NOT_TOUCH,97,,HIGH,,,"All major GRIS sections present, dish-specific, no blockers."
