"recipeId","slug","titleFa","sourceGroup","category","score","failedSections","reason","recommendedNextAction"
"garnish_recipe_fa_1342_ce4a8da3","saffron-chicken-stew","خوراک مرغ زعفرانی","phase-one-v0.6.1","main","80","","leak:USDA","sanitize user-facing copy"
"garnish_recipe_fa_1333_db68905d","fried-chicken","مرغ سوخاری","phase-one-v0.6.1","main","80","","leak:USDA","sanitize user-facing copy"
"garnish_recipe_fa_1077_1b3eec19","khorak-loobia-chiti","خوراک لوبیا چیتی","phase-one-v0.6.1","main","90","","generic:در پایان تنظیم کنید","sanitize user-facing copy"
"garnish_recipe_fa_1270_70cc3cff","yatimcheh","یتیمچه","phase-one-v0.6.1","main","90","","generic:در پایان تنظیم کنید","sanitize user-facing copy"
"garnish_recipe_fa_2064_b5a2a37a","pesto-pasta","پاستا پستو","phase-one-v0.6.1","main","80","","leak:USDA","sanitize user-facing copy"
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","phase-one-v0.6.1","main","90","","generic:در پایان تنظیم کنید","sanitize user-facing copy"
"garnish_recipe_intl_019_629698d5","tom-kha-gai","تام کا گای (سوپ مرغ و نارگیل)","international-core-150-v0.6.0","soup","80","","leak:USDA","sanitize user-facing copy"
"garnish_recipe_intl_046_0c90256b","red-lentil-soup","سوپ عدس قرمز ترکی","international-core-150-v0.6.0","soup","90","","generic:در پایان تنظیم کنید","sanitize user-facing copy"
"garnish_recipe_fa_2054_be491f02","gheymeh-sibzamini","قیمه سیب زمینی","phase-one-v0.6.1","main","60","","leak:fdcId; leak:USDA","sanitize user-facing copy"
"garnish_recipe_fa_216_1bfdfe55","saffron-joojeh-kabab","جوجه کباب زعفرانی","phase-one-v0.6.1","grilled","80","","leak:USDA","sanitize user-facing copy"
"garnish_recipe_fa_1071_6e0696a6","kotlet-goosht","کتلت گوشت","phase-one-v0.6.1","main","80","","leak:USDA","sanitize user-facing copy"
"garnish_recipe_fa_1224_c65df148","baghali-ghatogh","باقلاقاتُق","phase-one-v0.6.1","main","80","","leak:USDA","sanitize user-facing copy"
"garnish_recipe_fa_1238_296fbec3","halim-gandom","حلیم گندم","phase-one-v0.6.1","main","90","","generic:در پایان تنظیم کنید","sanitize user-facing copy"
"garnish_recipe_fa_1315_c324442d","dal-adas","دال عدس","phase-one-v0.6.1","main","90","","generic:در پایان تنظیم کنید","sanitize user-facing copy"
"garnish_recipe_fa_1816_dec0afbb","cream-of-chicken-soup","سوپ شیر","phase-one-v0.6.1","main","90","","generic:در پایان تنظیم کنید","sanitize user-facing copy"
"garnish_recipe_fa_2071_5391bddf","caesar-salad","سالاد سزار","phase-one-v0.6.1","salad","80","","leak:USDA","sanitize user-facing copy"
"garnish_recipe_fa_2103_d26d79d5","alfredo-pasta","پاستا آلفردو","phase-one-v0.6.1","main","90","","generic:مواد را آماده کنید","sanitize user-facing copy"
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","phase-one-v0.6.1","soup","90","","generic:در پایان تنظیم کنید","sanitize user-facing copy"
"garnish_recipe_global_143_001_758db93a","classic-bakers-croissant","کروسان کلاسیک لایه‌ای","global-143-v0.3","pastry","72","variations|keep|serveWith|faq","variations; keep; serveWith; faq","repair GRIS section content"
